theropithecus_gelada ENSTGEG00000024045
piliocolobus_tephrosceles ENSPTEG00000014083
prolemur_simus ENSPSMG00000019430
castor_canadensis ENSCCNG00000017242
urocitellus_parryii ENSUPAG00010015030
peromyscus_maniculatus_bairdii ENSPEMG00000027133
microtus_ochrogaster ENSMOCG00000016882
cricetulus_griseus_crigri-picr ENSCGRG00015009528
cricetulus_griseus_chok1gshd ENSCGRG00001022749
rattus_norvegicus ENSRNOG00000061913
neovison_vison ENSNVIG00000003264
ursus_americanus ENSUAMG00000014861
felis_catus ENSFCAG00000043436
panthera_pardus ENSPPRG00000016939
equus_caballus ENSECAG00000040199
equus_asinus_asinus ENSEASG00005019083
bos_mutus ENSBMUG00000006496
bos_taurus ENSBTAG00000050569
sus_scrofa ENSSSCG00000039138
