ficedula_albicollis ENSFALG00000005211
junco_hyemalis ENSJHYG00000003899
melopsittacus_undulatus ENSMUNG00000010160
calidris_pygmaea ENSCPGG00000007585
dromaius_novaehollandiae ENSDNVG00000002240
chrysemys_picta_bellii ENSCPBG00000006334
sphenodon_punctatus ENSSPUG00000013765
pogona_vitticeps ENSPVIG00000022720
dasypus_novemcinctus ENSDNOG00000044979
ornithorhynchus_anatinus ENSOANG00000031050
oryzias_latipes_asm223469v1 ENSORLG00015022596
acanthochromis_polyacanthus ENSAPOG00000013523
labrus_bergylta ENSLBEG00000018617
eptatretus_burgeri ENSEBUG00000008332
