sphenodon_punctatus ENSSPUG00000006336
pogona_vitticeps ENSPVIG00000007429
crocodylus_porosus ENSCPRG00005016217
apteryx_owenii ENSAOWG00000001328
chelonoidis_abingdonii ENSCABG00000004536
gopherus_agassizii ENSGAGG00000023442
chrysemys_picta_bellii ENSCPBG00000006875
loxodonta_africana ENSLAFG00000008583
procavia_capensis ENSPCAG00000000603
echinops_telfairi ENSETEG00000019839
choloepus_hoffmanni ENSCHOG00000003824
dasypus_novemcinctus ENSDNOG00000032982
pteropus_vampyrus ENSPVAG00000005453
myotis_lucifugus ENSMLUG00000009383
equus_asinus_asinus ENSEASG00005012756
equus_caballus ENSECAG00000023071
capra_hircus ENSCHIG00000020440
ovis_aries ENSOARG00000005710
bos_mutus ENSBMUG00000010918
bos_taurus ENSBTAG00000011636
bison_bison_bison ENSBBBG00000007233
tursiops_truncatus ENSTTRG00000010197
sus_scrofa ENSSSCG00000014898
vicugna_pacos ENSVPAG00000007748
ursus_americanus ENSUAMG00000009324
ursus_maritimus ENSUMAG00000023570
ailuropoda_melanoleuca ENSAMEG00000005227
mustela_putorius_furo ENSMPUG00000008081
neovison_vison ENSNVIG00000001340
canis_lupus_familiaris ENSCAFG00000004621
canis_lupus_dingo ENSCAFG00020017873
vulpes_vulpes ENSVVUG00000017456
erinaceus_europaeus ENSEEUG00000011869
sorex_araneus ENSSARG00000007636
castor_canadensis ENSCCNG00000020816
dipodomys_ordii ENSDORG00000009384
spermophilus_dauricus ENSSDAG00000010795
ictidomys_tridecemlineatus ENSSTOG00000004978
urocitellus_parryii ENSUPAG00010017655
marmota_marmota_marmota ENSMMMG00000006475
mus_spicilegus ENSMSIG00000018577
mus_musculus ENSMUSG00000030641
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031103
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029993
mus_pahari MGP_PahariEiJ_G0013213
rattus_norvegicus ENSRNOG00000022521
meriones_unguiculatus ENSMUGG00000022332
cricetulus_griseus_chok1gshd ENSCGRG00001005369
cricetulus_griseus_crigri ENSCGRG00000012727
cricetulus_griseus_crigri-picr ENSCGRG00015010765
mesocricetus_auratus ENSMAUG00000010956
peromyscus_maniculatus_bairdii ENSPEMG00000023174
nannospalax_galili ENSNGAG00000019404
jaculus_jaculus ENSJJAG00000009611
heterocephalus_glaber_female ENSHGLG00000002924
fukomys_damarensis ENSFDAG00000011621
chinchilla_lanigera ENSCLAG00000013506
cavia_porcellus ENSCPOG00000013049
oryctolagus_cuniculus ENSOCUG00000007575
ochotona_princeps ENSOPRG00000009071
homo_sapiens ENSG00000165490
gorilla_gorilla ENSGGOG00000012185
pan_troglodytes ENSPTRG00000004124
pan_paniscus ENSPPAG00000038440
pongo_abelii ENSPPYG00000003732
nomascus_leucogenys ENSNLEG00000016579
rhinopithecus_bieti ENSRBIG00000035386
rhinopithecus_roxellana ENSRROG00000028930
piliocolobus_tephrosceles ENSPTEG00000034351
macaca_mulatta ENSMMUG00000007841
macaca_nemestrina ENSMNEG00000037780
macaca_fascicularis ENSMFAG00000030789
chlorocebus_sabaeus ENSCSAG00000003710
mandrillus_leucophaeus ENSMLEG00000033577
cercocebus_atys ENSCATG00000000940
papio_anubis ENSPANG00000000427
theropithecus_gelada ENSTGEG00000003184
saimiri_boliviensis_boliviensis ENSSBOG00000018495
callithrix_jacchus ENSCJAG00000014654
aotus_nancymaae ENSANAG00000027765
carlito_syrichta ENSTSYG00000009646
microcebus_murinus ENSMICG00000033865
otolemur_garnettii ENSOGAG00000033050
tupaia_belangeri ENSTBEG00000003498
notamacropus_eugenii ENSMEUG00000013177
sarcophilus_harrisii ENSSHAG00000018121
monodelphis_domestica ENSMODG00000004513
ornithorhynchus_anatinus ENSOANG00000021995
