haplochromis_burtoni ENSHBUG00000005846
maylandia_zebra ENSMZEG00005008432
astatotilapia_calliptera ENSACLG00000013781
neolamprologus_brichardi ENSNBRG00000012424
amphilophus_citrinellus ENSACIG00000020838
kryptolebias_marmoratus ENSKMAG00000017048
scophthalmus_maximus ENSSMAG00000007449
amphiprion_percula ENSAPEG00000000950
amphiprion_ocellaris ENSAOCG00000007035
acanthochromis_polyacanthus ENSAPOG00000021588
stegastes_partitus ENSSPAG00000022612
oryzias_latipes ENSORLG00000029886
oryzias_latipes ENSORLG00020001606
oryzias_latipes_asm223469v1 ENSORLG00015021218
oryzias_melastigma ENSOMEG00000013312
labrus_bergylta ENSLBEG00000007293
takifugu_rubripes ENSTRUG00000024307
monopterus_albus ENSMALG00000019022
mastacembelus_armatus ENSMAMG00000001267
anabas_testudineus ENSATEG00000000292
seriola_dumerili ENSSDUG00000004170
seriola_lalandi_dorsalis ENSSLDG00000003105
poecilia_mexicana ENSPMEG00000012566
poecilia_latipinna ENSPLAG00000001311
poecilia_reticulata ENSPREG00000005070
xiphophorus_maculatus ENSXMAG00000022361
xiphophorus_couchianus ENSXCOG00000018155
gambusia_affinis ENSGAFG00000002087
fundulus_heteroclitus ENSFHEG00000014062
cyprinodon_variegatus ENSCVAG00000016389
periophthalmus_magnuspinnatus ENSPMGG00000008778
hippocampus_comes ENSHCOG00000019235
danio_rerio ENSDARG00000074340
ictalurus_punctatus ENSIPUG00000021021
esox_lucius ENSELUG00000017587
scleropages_formosus ENSSFOG00015019912
paramormyrops_kingsleyae ENSPKIG00000020684
astyanax_mexicanus ENSAMXG00000007428
pygocentrus_nattereri ENSPNAG00000012112
danio_rerio ENSDARG00000075881
paramormyrops_kingsleyae ENSPKIG00000021321
lepisosteus_oculatus ENSLOCG00000014349
phascolarctos_cinereus ENSPCIG00000018282
phascolarctos_cinereus ENSPCIG00000030800
phascolarctos_cinereus ENSPCIG00000033891
phascolarctos_cinereus ENSPCIG00000034149
monodelphis_domestica ENSMODG00000017751
rhinopithecus_roxellana ENSRROG00000035202
otolemur_garnettii ENSOGAG00000025397
octodon_degus ENSODEG00000020457
ovis_aries ENSOARG00000003063
capra_hircus ENSCHIG00000005220
canis_lupus_dingo ENSCAFG00020024736
otolemur_garnettii ENSOGAG00000030130
ovis_aries ENSOARG00000015086
capra_hircus ENSCHIG00000017067
capra_hircus ENSCHIG00000016434
oryctolagus_cuniculus ENSOCUG00000026332
rhinopithecus_roxellana ENSRROG00000028380
macaca_nemestrina ENSMNEG00000023674
saimiri_boliviensis_boliviensis ENSSBOG00000020260
chinchilla_lanigera ENSCLAG00000006897
cricetulus_griseus_crigri-picr ENSCGRG00015019717
oryctolagus_cuniculus ENSOCUG00000023710
canis_lupus_familiaris ENSCAFG00000016914
canis_lupus_familiaris ENSCAFG00000004907
bison_bison_bison ENSBBBG00000003969
myotis_lucifugus ENSMLUG00000024894
gopherus_agassizii ENSGAGG00000004621
chelonoidis_abingdonii ENSCABG00000008938
chrysemys_picta_bellii ENSCPBG00000024443
numida_meleagris ENSNMEG00000009934
gallus_gallus ENSGALG00000053991
anser_brachyrhynchus ENSABRG00000004429
calidris_pygmaea ENSCPGG00000002200
junco_hyemalis ENSJHYG00000001013
lonchura_striata_domestica ENSLSDG00000010245
lepidothrix_coronata ENSLCOG00000005922
apteryx_rowi ENSARWG00000017586
