mesocricetus_auratus ENSMAUG00000007892
cricetulus_griseus ENSCGRG00001016276
peromyscus_maniculatus ENSPEMG00000031430
rattus_norvegicus ENSRNOG00000014562
mus_musculus ENSMUSG00000042079
meriones_unguiculatus ENSMUGG00000011299
nannospalax_galili ENSNGAG00000010409
peromyscus_maniculatus ENSPEMG00000027380
microtus_ochrogaster ENSMOCG00000014915
mus_pahari MGP_PahariEiJ_G0026903
jaculus_jaculus ENSJJAG00000017385
jaculus_jaculus ENSJJAG00000022288
mus_spicilegus ENSMSIG00000002425
mus_spicilegus ENSMSIG00000002419
peromyscus_maniculatus ENSPEMG00000024504
nannospalax_galili ENSNGAG00000009482
jaculus_jaculus ENSJJAG00000014334
jaculus_jaculus ENSJJAG00000000554
dipodomys_ordii ENSDORG00000008260
dipodomys_ordii ENSDORG00000005431
dipodomys_ordii ENSDORG00000024298
dipodomys_ordii ENSDORG00000024936
nannospalax_galili ENSNGAG00000014079
oryctolagus_cuniculus ENSOCUG00000038795
carlito_syrichta ENSTSYG00000030439
carlito_syrichta ENSTSYG00000002112
pan_troglodytes ENSPTRG00000002446
homo_sapiens ENSG00000169813
pongo_abelii ENSPPYG00000002212
piliocolobus_tephrosceles ENSPTEG00000018543
colobus_angolensis ENSCANG00000003086
rhinopithecus_roxellana ENSRROG00000001235
theropithecus_gelada ENSTGEG00000010125
papio_anubis ENSPANG00000002212
mandrillus_leucophaeus ENSMLEG00000023515
macaca_mulatta ENSMMUG00000020982
macaca_fascicularis ENSMFAG00000021184
cebus_capucinus ENSCCAG00000031457
cebus_capucinus ENSCCAG00000028687
saimiri_boliviensis ENSSBOG00000018361
callithrix_jacchus ENSCJAG00000008291
aotus_nancymaae ENSANAG00000033285
nomascus_leucogenys ENSNLEG00000019098
prolemur_simus ENSPSMG00000019579
microcebus_murinus ENSMICG00000044171
microcebus_murinus ENSMICG00000043739
prolemur_simus ENSPSMG00000019077
otolemur_garnettii ENSOGAG00000013734
otolemur_garnettii ENSOGAG00000030480
oryctolagus_cuniculus ENSOCUG00000024719
oryctolagus_cuniculus ENSOCUG00000024604
spermophilus_dauricus ENSSDAG00000005103
ictidomys_tridecemlineatus ENSSTOG00000023820
spermophilus_dauricus ENSSDAG00000016443
spermophilus_dauricus ENSSDAG00000021222
spermophilus_dauricus ENSSDAG00000021220
spermophilus_dauricus ENSSDAG00000020074
octodon_degus ENSODEG00000004382
ictidomys_tridecemlineatus ENSSTOG00000022853
urocitellus_parryii ENSUPAG00010022173
spermophilus_dauricus ENSSDAG00000006594
ictidomys_tridecemlineatus ENSSTOG00000025560
heterocephalus_glaber ENSHGLG00100019558
heterocephalus_glaber ENSHGLG00000010276
