cynoglossus_semilaevis ENSCSEG00000002852
periophthalmus_magnuspinnatus ENSPMGG00000007833
monopterus_albus ENSMALG00000008524
mastacembelus_armatus ENSMAMG00000022521
gambusia_affinis ENSGAFG00000003425
poecilia_reticulata ENSPREG00000013100
poecilia_mexicana ENSPMEG00000004853
poecilia_formosa ENSPFOG00000018983
poecilia_latipinna ENSPLAG00000004656
xiphophorus_couchianus ENSXCOG00000004126
xiphophorus_maculatus ENSXMAG00000016077
cyprinodon_variegatus ENSCVAG00000004247
kryptolebias_marmoratus ENSKMAG00000002706
oryzias_latipes ENSORLG00000002780
oryzias_latipes ENSORLG00020017172
oryzias_latipes_asm223469v1 ENSORLG00015003293
oryzias_melastigma ENSOMEG00000022600
amphiprion_ocellaris ENSAOCG00000004929
amphiprion_percula ENSAPEG00000015565
acanthochromis_polyacanthus ENSAPOG00000001992
stegastes_partitus ENSSPAG00000008246
astatotilapia_calliptera ENSACLG00000003503
pundamilia_nyererei ENSPNYG00000019484
maylandia_zebra ENSMZEG00005004140
oreochromis_niloticus ENSONIG00000007055
neolamprologus_brichardi ENSNBRG00000009938
seriola_lalandi_dorsalis ENSSLDG00000003607
seriola_dumerili ENSSDUG00000003459
scophthalmus_maximus ENSSMAG00000007585
hippocampus_comes ENSHCOG00000018383
takifugu_rubripes ENSTRUG00000006368
tetraodon_nigroviridis ENSTNIG00000013365
mola_mola ENSMMOG00000007793
labrus_bergylta ENSLBEG00000000009
gadus_morhua ENSGMOG00000004423
gasterosteus_aculeatus ENSGACG00000012160
esox_lucius ENSELUG00000017692
pygocentrus_nattereri ENSPNAG00000025576
astyanax_mexicanus ENSAMXG00000043906
ictalurus_punctatus ENSIPUG00000012261
danio_rerio ENSDARG00000071004
scleropages_formosus ENSSFOG00015020086
paramormyrops_kingsleyae ENSPKIG00000010364
lepisosteus_oculatus ENSLOCG00000016763
