heterocephalus_glaber ENSHGLG00100004994
fukomys_damarensis ENSFDAG00000021439
cavia_aperea ENSCAPG00000016720
cavia_porcellus ENSCPOG00000001668
ictidomys_tridecemlineatus ENSSTOG00000007769
urocitellus_parryii ENSUPAG00010015532
marmota_marmota ENSMMMG00000005890
spermophilus_dauricus ENSSDAG00000005671
oryctolagus_cuniculus ENSOCUG00000017123
callithrix_jacchus ENSCJAG00000004928
cebus_capucinus ENSCCAG00000037510
saimiri_boliviensis ENSSBOG00000023931
pan_paniscus ENSPPAG00000035491
pan_troglodytes ENSPTRG00000010020
homo_sapiens ENSG00000172361
pongo_abelii ENSPPYG00000009157
nomascus_leucogenys ENSNLEG00000011645
macaca_nemestrina ENSMNEG00000015915
macaca_fascicularis ENSMFAG00000038983
cercocebus_atys ENSCATG00000026928
mandrillus_leucophaeus ENSMLEG00000010151
papio_anubis ENSPANG00000025517
chlorocebus_sabaeus ENSCSAG00000018065
rhinopithecus_roxellana ENSRROG00000033897
rhinopithecus_bieti ENSRBIG00000022580
colobus_angolensis ENSCANG00000020514
piliocolobus_tephrosceles ENSPTEG00000018396
carlito_syrichta ENSTSYG00000000508
prolemur_simus ENSPSMG00000019120
microcebus_murinus ENSMICG00000006410
propithecus_coquereli ENSPCOG00000018350
tupaia_belangeri ENSTBEG00000000134
equus_asinus ENSEASG00005003973
pteropus_vampyrus ENSPVAG00000015606
ailuropoda_melanoleuca ENSAMEG00000000231
ursus_americanus ENSUAMG00000004750
neovison_vison ENSNVIG00000001864
mustela_putorius ENSMPUG00000008985
canis_lupus ENSCAFG00020024273
panthera_pardus ENSPPRG00000012971
panthera_tigris ENSPTIG00000018895
bison_bison ENSBBBG00000006869
erinaceus_europaeus ENSEEUG00000007492
choloepus_hoffmanni ENSCHOG00000002635
dasypus_novemcinctus ENSDNOG00000040321
loxodonta_africana ENSLAFG00000015611
