neovison_vison ENSNVIG00000021323
ursus_maritimus ENSUMAG00000021221
panthera_tigris_altaica ENSPTIG00000018506
panthera_pardus ENSPPRG00000001708
felis_catus ENSFCAG00000037985
marmota_marmota_marmota ENSMMMG00000000030
marmota_marmota_marmota ENSMMMG00000003621
mus_spicilegus ENSMSIG00000015018
colobus_angolensis_palliatus ENSCANG00000031276
piliocolobus_tephrosceles ENSPTEG00000030607
mandrillus_leucophaeus ENSMLEG00000027873
macaca_nemestrina ENSMNEG00000044017
papio_anubis ENSPANG00000033695
theropithecus_gelada ENSTGEG00000025823
macaca_nemestrina ENSMNEG00000006868
cercocebus_atys ENSCATG00000036857
rhinopithecus_roxellana ENSRROG00000031601
rhinopithecus_bieti ENSRBIG00000038641
colobus_angolensis_palliatus ENSCANG00000004677
rhinopithecus_roxellana ENSRROG00000041435
gorilla_gorilla ENSGGOG00000038612
cebus_capucinus ENSCCAG00000031458
saimiri_boliviensis_boliviensis ENSSBOG00000032347
callithrix_jacchus ENSCJAG00000044484
