scleropages_formosus ENSSFOG00015009495
paramormyrops_kingsleyae ENSPKIG00000019044
takifugu_rubripes ENSTRUG00000025321
cynoglossus_semilaevis ENSCSEG00000011045
oryzias_latipes ENSORLG00020000484
oryzias_latipes ENSORLG00000010226
oryzias_latipes_asm223469v1 ENSORLG00015009283
oryzias_melastigma ENSOMEG00000006835
xiphophorus_maculatus ENSXMAG00000029564
xiphophorus_couchianus ENSXCOG00000000931
gambusia_affinis ENSGAFG00000016020
poecilia_formosa ENSPFOG00000007712
poecilia_latipinna ENSPLAG00000008457
poecilia_mexicana ENSPMEG00000000064
poecilia_reticulata ENSPREG00000009349
astatotilapia_calliptera ENSACLG00000006120
monopterus_albus ENSMALG00000011118
mastacembelus_armatus ENSMAMG00000003464
seriola_lalandi_dorsalis ENSSLDG00000022184
seriola_dumerili ENSSDUG00000020435
pundamilia_nyererei ENSPNYG00000017425
maylandia_zebra ENSMZEG00005026381
haplochromis_burtoni ENSHBUG00000023118
astatotilapia_calliptera ENSACLG00000006109
neolamprologus_brichardi ENSNBRG00000013164
oreochromis_niloticus ENSONIG00000013548
amphilophus_citrinellus ENSACIG00000013793
tetraodon_nigroviridis ENSTNIG00000017744
amphiprion_percula ENSAPEG00000019350
amphiprion_ocellaris ENSAOCG00000009602
acanthochromis_polyacanthus ENSAPOG00000007309
labrus_bergylta ENSLBEG00000021952
scophthalmus_maximus ENSSMAG00000020431
hippocampus_comes ENSHCOG00000014384
mola_mola ENSMMOG00000013392
gasterosteus_aculeatus ENSGACG00000003020
stegastes_partitus ENSSPAG00000009993
anabas_testudineus ENSATEG00000007284
periophthalmus_magnuspinnatus ENSPMGG00000013638
gadus_morhua ENSGMOG00000002740
esox_lucius ENSELUG00000005319
astyanax_mexicanus ENSAMXG00000031959
pygocentrus_nattereri ENSPNAG00000024316
ictalurus_punctatus ENSIPUG00000015155
danio_rerio ENSDARG00000030364
apteryx_haastii ENSAHAG00000019009
apteryx_owenii ENSAOWG00000009572
apteryx_rowi ENSARWG00000002130
dromaius_novaehollandiae ENSDNVG00000005017
nothoprocta_perdicaria ENSNPEG00000000228
anas_platyrhynchos_platyrhynchos ENSAPLG00000007378
anser_brachyrhynchus ENSABRG00000014336
coturnix_japonica ENSCJPG00005005113
gallus_gallus ENSGALG00000029983
meleagris_gallopavo ENSMGAG00000012382
numida_meleagris ENSNMEG00000004771
cyanistes_caeruleus ENSCCEG00000002024
parus_major ENSPMJG00000010790
ficedula_albicollis ENSFALG00000006084
taeniopygia_guttata ENSTGUG00000012208
lonchura_striata_domestica ENSLSDG00000004488
serinus_canaria ENSSCAG00000006260
junco_hyemalis ENSJHYG00000001407
zonotrichia_albicollis ENSZALG00000009033
manacus_vitellinus ENSMVIG00005014223
lepidothrix_coronata ENSLCOG00000008361
calidris_pugnax ENSCPUG00000007109
calidris_pygmaea ENSCPGG00000018322
melopsittacus_undulatus ENSMUNG00000004748
crocodylus_porosus ENSCPRG00005006811
chelonoidis_abingdonii ENSCABG00000013140
gopherus_agassizii ENSGAGG00000005782
chrysemys_picta_bellii ENSCPBG00000000642
pelodiscus_sinensis ENSPSIG00000014608
anolis_carolinensis ENSACAG00000010050
pogona_vitticeps ENSPVIG00000007116
notechis_scutatus ENSNSUG00000012321
salvator_merianae ENSSMRG00000021397
sphenodon_punctatus ENSSPUG00000012633
oryctolagus_cuniculus ENSOCUG00000003722
ochotona_princeps ENSOPRG00000002382
sorex_araneus ENSSARG00000000756
choloepus_hoffmanni ENSCHOG00000001615
procavia_capensis ENSPCAG00000007136
pan_troglodytes ENSPTRG00000020503
pan_paniscus ENSPPAG00000036353
gorilla_gorilla ENSGGOG00000023090
homo_sapiens ENSG00000154188
pongo_abelii ENSPPYG00000018817
nomascus_leucogenys ENSNLEG00000035980
rhinopithecus_bieti ENSRBIG00000042356
rhinopithecus_roxellana ENSRROG00000044116
colobus_angolensis_palliatus ENSCANG00000041767
piliocolobus_tephrosceles ENSPTEG00000035943
macaca_mulatta ENSMMUG00000017745
macaca_fascicularis ENSMFAG00000041761
macaca_nemestrina ENSMNEG00000041312
mandrillus_leucophaeus ENSMLEG00000035581
theropithecus_gelada ENSTGEG00000005410
papio_anubis ENSPANG00000016683
cercocebus_atys ENSCATG00000031768
chlorocebus_sabaeus ENSCSAG00000011748
cebus_capucinus ENSCCAG00000022543
saimiri_boliviensis_boliviensis ENSSBOG00000030985
callithrix_jacchus ENSCJAG00000006522
aotus_nancymaae ENSANAG00000036388
carlito_syrichta ENSTSYG00000010923
prolemur_simus ENSPSMG00000013015
propithecus_coquereli ENSPCOG00000022904
tupaia_belangeri ENSTBEG00000007248
castor_canadensis ENSCCNG00000016739
dipodomys_ordii ENSDORG00000013524
spermophilus_dauricus ENSSDAG00000001608
ictidomys_tridecemlineatus ENSSTOG00000008023
urocitellus_parryii ENSUPAG00010014401
marmota_marmota_marmota ENSMMMG00000016901
bos_mutus ENSBMUG00000010535
bos_taurus ENSBTAG00000014051
bison_bison_bison ENSBBBG00000013987
ovis_aries ENSOARG00000015100
capra_hircus ENSCHIG00000015819
tursiops_truncatus ENSTTRG00000008740
sus_scrofa ENSSSCG00000006035
vicugna_pacos ENSVPAG00000011200
pteropus_vampyrus ENSPVAG00000015798
equus_caballus ENSECAG00000016669
equus_asinus_asinus ENSEASG00005001005
canis_lupus_familiaris ENSCAFG00000000693
canis_lupus_dingo ENSCAFG00020003297
vulpes_vulpes ENSVVUG00000017163
ursus_maritimus ENSUMAG00000020002
ursus_americanus ENSUAMG00000002206
ailuropoda_melanoleuca ENSAMEG00000015578
neovison_vison ENSNVIG00000002025
mustela_putorius_furo ENSMPUG00000005939
panthera_pardus ENSPPRG00000014659
panthera_tigris_altaica ENSPTIG00000017177
felis_catus ENSFCAG00000045651
erinaceus_europaeus ENSEEUG00000011353
heterocephalus_glaber_male ENSHGLG00100015666
heterocephalus_glaber_female ENSHGLG00000013880
fukomys_damarensis ENSFDAG00000006826
cavia_porcellus ENSCPOG00000002490
cavia_aperea ENSCAPG00000014151
chinchilla_lanigera ENSCLAG00000014625
octodon_degus ENSODEG00000001121
otolemur_garnettii ENSOGAG00000016743
