tupaia_belangeri ENSTBEG00000015138
erinaceus_europaeus ENSEEUG00000005010
prolemur_simus ENSPSMG00000019492
vombatus_ursinus ENSVURG00010009843
notamacropus_eugenii ENSMEUG00000008900
notamacropus_eugenii ENSMEUG00000009231
vombatus_ursinus ENSVURG00010016114
dasypus_novemcinctus ENSDNOG00000044581
ovis_aries ENSOARG00000007688
vombatus_ursinus ENSVURG00010000114
monodelphis_domestica ENSMODG00000042596
dasypus_novemcinctus ENSDNOG00000048953
pteropus_vampyrus ENSPVAG00000004356
dasypus_novemcinctus ENSDNOG00000046851
notamacropus_eugenii ENSMEUG00000012166
danio_rerio ENSDARG00000042521
