poecilia_formosa ENSPFOG00000023340
poecilia_mexicana ENSPMEG00000007030
amphiprion_ocellaris ENSAOCG00000014010
anabas_testudineus ENSATEG00000019035
periophthalmus_magnuspinnatus ENSPMGG00000016138
cynoglossus_semilaevis ENSCSEG00000007827
astyanax_mexicanus ENSAMXG00000043506
capra_hircus ENSCHIG00000026640
ovis_aries ENSOARG00000010499
bos_mutus ENSBMUG00000016944
bos_taurus ENSBTAG00000030852
sus_scrofa ENSSSCG00000037643
vulpes_vulpes ENSVVUG00000015390
canis_lupus_familiaris ENSCAFG00000018594
mustela_putorius_furo ENSMPUG00000000756
felis_catus ENSFCAG00000035003
ursus_americanus ENSUAMG00000021413
ursus_maritimus ENSUMAG00000007396
canis_lupus_dingo ENSCAFG00020020432
equus_caballus ENSECAG00000028925
myotis_lucifugus ENSMLUG00000028998
phascolarctos_cinereus ENSPCIG00000034651
sarcophilus_harrisii ENSSHAG00000008721
salvator_merianae ENSSMRG00000019957
gopherus_agassizii ENSGAGG00000012091
chelonoidis_abingdonii ENSCABG00000002751
chrysemys_picta_bellii ENSCPBG00000001197
pelodiscus_sinensis ENSPSIG00000008877
apteryx_owenii ENSAOWG00000013321
apteryx_haastii ENSAHAG00000005332
nothoprocta_perdicaria ENSNPEG00000001176
numida_meleagris ENSNMEG00000009608
calidris_pygmaea ENSCPGG00000017998
taeniopygia_guttata ENSTGUG00000010063
taeniopygia_guttata ENSTGUG00000014942
manacus_vitellinus ENSMVIG00005007930
sphenodon_punctatus ENSSPUG00000014929
crocodylus_porosus ENSCPRG00005011105
ornithorhynchus_anatinus ENSOANG00000028400
latimeria_chalumnae ENSLACG00000015586
lepisosteus_oculatus ENSLOCG00000007564
gopherus_agassizii ENSGAGG00000002118
