pundamilia_nyererei ENSPNYG00000020984
haplochromis_burtoni ENSHBUG00000016567
astatotilapia_calliptera ENSACLG00000001487
maylandia_zebra ENSMZEG00005010370
oreochromis_niloticus ENSONIG00000021346
amphilophus_citrinellus ENSACIG00000002530
mola_mola ENSMMOG00000000962
scophthalmus_maximus ENSSMAG00000015515
cynoglossus_semilaevis ENSCSEG00000014180
gasterosteus_aculeatus ENSGACG00000007203
labrus_bergylta ENSLBEG00000002179
mastacembelus_armatus ENSMAMG00000007728
monopterus_albus ENSMALG00000000945
seriola_dumerili ENSSDUG00000004429
poecilia_formosa ENSPFOG00000020428
poecilia_mexicana ENSPMEG00000021233
poecilia_latipinna ENSPLAG00000022255
poecilia_reticulata ENSPREG00000021545
gambusia_affinis ENSGAFG00000017821
xiphophorus_couchianus ENSXCOG00000001473
fundulus_heteroclitus ENSFHEG00000013715
kryptolebias_marmoratus ENSKMAG00000018754
oryzias_latipes ENSORLG00000005131
oryzias_melastigma ENSOMEG00000018990
amphiprion_percula ENSAPEG00000019911
amphiprion_ocellaris ENSAOCG00000021002
acanthochromis_polyacanthus ENSAPOG00000020703
stegastes_partitus ENSSPAG00000002614
hippocampus_comes ENSHCOG00000016402
periophthalmus_magnuspinnatus ENSPMGG00000005227
gadus_morhua ENSGMOG00000014043
esox_lucius ENSELUG00000005411
ictalurus_punctatus ENSIPUG00000011573
pygocentrus_nattereri ENSPNAG00000000606
danio_rerio ENSDARG00000100791
paramormyrops_kingsleyae ENSPKIG00000000080
scleropages_formosus ENSSFOG00015013322
lepisosteus_oculatus ENSLOCG00000018326
lepisosteus_oculatus ENSLOCG00000007244
pygocentrus_nattereri ENSPNAG00000006188
dasypus_novemcinctus ENSDNOG00000048111
loxodonta_africana ENSLAFG00000029935
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029400
mus_spicilegus ENSMSIG00000023637
mus_musculus ENSMUSG00000043496
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028398
mus_pahari MGP_PahariEiJ_G0022148
rattus_norvegicus ENSRNOG00000026941
meriones_unguiculatus ENSMUGG00000006720
peromyscus_maniculatus_bairdii ENSPEMG00000014631
microtus_ochrogaster ENSMOCG00000001138
cricetulus_griseus_crigri-picr ENSCGRG00015021404
cricetulus_griseus_crigri ENSCGRG00000020048
cricetulus_griseus_chok1gshd ENSCGRG00001006970
mesocricetus_auratus ENSMAUG00000016482
nannospalax_galili ENSNGAG00000012621
jaculus_jaculus ENSJJAG00000019712
dipodomys_ordii ENSDORG00000025363
marmota_marmota_marmota ENSMMMG00000006835
urocitellus_parryii ENSUPAG00010002872
chinchilla_lanigera ENSCLAG00000018111
octodon_degus ENSODEG00000019862
cavia_porcellus ENSCPOG00000024604
heterocephalus_glaber_female ENSHGLG00000021336
heterocephalus_glaber_male ENSHGLG00100012621
fukomys_damarensis ENSFDAG00000009271
oryctolagus_cuniculus ENSOCUG00000026897
pan_paniscus ENSPPAG00000024310
pan_troglodytes ENSPTRG00000043675
homo_sapiens ENSG00000255690
gorilla_gorilla ENSGGOG00000026471
nomascus_leucogenys ENSNLEG00000031765
macaca_fascicularis ENSMFAG00000028905
macaca_mulatta ENSMMUG00000020183
macaca_nemestrina ENSMNEG00000004465
cercocebus_atys ENSCATG00000017105
theropithecus_gelada ENSTGEG00000020364
papio_anubis ENSPANG00000034493
mandrillus_leucophaeus ENSMLEG00000032070
piliocolobus_tephrosceles ENSPTEG00000020314
colobus_angolensis_palliatus ENSCANG00000017001
rhinopithecus_bieti ENSRBIG00000008971
rhinopithecus_roxellana ENSRROG00000011019
cebus_capucinus ENSCCAG00000003310
callithrix_jacchus ENSCJAG00000045826
saimiri_boliviensis_boliviensis ENSSBOG00000017304
aotus_nancymaae ENSANAG00000019308
carlito_syrichta ENSTSYG00000029918
prolemur_simus ENSPSMG00000015395
otolemur_garnettii ENSOGAG00000033323
capra_hircus ENSCHIG00000009595
ovis_aries ENSOARG00000009051
bos_mutus ENSBMUG00000019544
bos_taurus ENSBTAG00000024340
bison_bison_bison ENSBBBG00000020390
sus_scrofa ENSSSCG00000016689
equus_caballus ENSECAG00000020808
equus_asinus_asinus ENSEASG00005000197
ursus_americanus ENSUAMG00000020623
ailuropoda_melanoleuca ENSAMEG00000005765
neovison_vison ENSNVIG00000011660
mustela_putorius_furo ENSMPUG00000019606
canis_lupus_dingo ENSCAFG00020003910
canis_lupus_familiaris ENSCAFG00000003014
panthera_pardus ENSPPRG00000018769
panthera_tigris_altaica ENSPTIG00000005460
myotis_lucifugus ENSMLUG00000026172
sarcophilus_harrisii ENSSHAG00000010901
gallus_gallus ENSGALG00000011145
coturnix_japonica ENSCJPG00005012555
meleagris_gallopavo ENSMGAG00000010740
numida_meleagris ENSNMEG00000008018
melopsittacus_undulatus ENSMUNG00000007219
calidris_pugnax ENSCPUG00000010818
anser_brachyrhynchus ENSABRG00000009999
anas_platyrhynchos_platyrhynchos ENSAPLG00000027101
calidris_pygmaea ENSCPGG00000004645
cyanistes_caeruleus ENSCCEG00000000608
serinus_canaria ENSSCAG00000015114
lonchura_striata_domestica ENSLSDG00000000559
taeniopygia_guttata ENSTGUG00000002967
parus_major ENSPMJG00000002329
junco_hyemalis ENSJHYG00000006272
ficedula_albicollis ENSFALG00000014423
lepidothrix_coronata ENSLCOG00000005840
manacus_vitellinus ENSMVIG00005017549
apteryx_haastii ENSAHAG00000014302
apteryx_rowi ENSARWG00000005745
dromaius_novaehollandiae ENSDNVG00000011895
nothoprocta_perdicaria ENSNPEG00000000322
crocodylus_porosus ENSCPRG00005000637
gopherus_agassizii ENSGAGG00000007121
chelonoidis_abingdonii ENSCABG00000013974
chrysemys_picta_bellii ENSCPBG00000022519
pelodiscus_sinensis ENSPSIG00000015545
pogona_vitticeps ENSPVIG00000015304
anolis_carolinensis ENSACAG00000007137
notechis_scutatus ENSNSUG00000011812
salvator_merianae ENSSMRG00000002616
sphenodon_punctatus ENSSPUG00000002723
xenopus_tropicalis ENSXETG00000012043
latimeria_chalumnae ENSLACG00000015655
