macaca_fascicularis ENSMFAG00000040744
macaca_mulatta ENSMMUG00000038314
macaca_nemestrina ENSMNEG00000039846
cercocebus_atys ENSCATG00000031300
mandrillus_leucophaeus ENSMLEG00000009595
theropithecus_gelada ENSTGEG00000027579
papio_anubis ENSPANG00000031698
rhinopithecus_bieti ENSRBIG00000036747
rhinopithecus_roxellana ENSRROG00000031784
pan_troglodytes ENSPTRG00000045968
pan_paniscus ENSPPAG00000034645
gorilla_gorilla ENSGGOG00000040791
nomascus_leucogenys ENSNLEG00000028468
cebus_capucinus ENSCCAG00000021193
saimiri_boliviensis_boliviensis ENSSBOG00000026360
callithrix_jacchus ENSCJAG00000046422
