amphiprion_percula ENSAPEG00000022531
amphiprion_ocellaris ENSAOCG00000020643
acanthochromis_polyacanthus ENSAPOG00000008184
stegastes_partitus ENSSPAG00000001422
xiphophorus_couchianus ENSXCOG00000010764
xiphophorus_maculatus ENSXMAG00000021545
poecilia_latipinna ENSPLAG00000015610
poecilia_mexicana ENSPMEG00000019617
poecilia_reticulata ENSPREG00000004942
cyprinodon_variegatus ENSCVAG00000022807
scophthalmus_maximus ENSSMAG00000021076
haplochromis_burtoni ENSHBUG00000001782
neolamprologus_brichardi ENSNBRG00000020514
oryzias_melastigma ENSOMEG00000009038
oryzias_latipes_asm223469v1 ENSORLG00015022917
monopterus_albus ENSMALG00000006959
takifugu_rubripes ENSTRUG00000025352
seriola_lalandi_dorsalis ENSSLDG00000012224
seriola_dumerili ENSSDUG00000022520
esox_lucius ENSELUG00000012197
ictalurus_punctatus ENSIPUG00000008625
paramormyrops_kingsleyae ENSPKIG00000005147
scleropages_formosus ENSSFOG00015001442
