lepidothrix_coronata ENSLCOG00000006814
manacus_vitellinus ENSMVIG00005014987
zonotrichia_albicollis ENSZALG00000015883
junco_hyemalis ENSJHYG00000008012
serinus_canaria ENSSCAG00000003705
lonchura_striata ENSLSDG00000016269
taeniopygia_guttata ENSTGUG00000010143
ficedula_albicollis ENSFALG00000013592
parus_major ENSPMJG00000003881
cyanistes_caeruleus ENSCCEG00000020718
melopsittacus_undulatus ENSMUNG00000016778
calidris_pygmaea ENSCPGG00000001209
calidris_pugnax ENSCPUG00000011879
anser_brachyrhynchus ENSABRG00000002223
anas_platyrhynchos ENSAPLG00000008853
gallus_gallus ENSGALG00000011013
meleagris_gallopavo ENSMGAG00000011951
coturnix_japonica ENSCJPG00005003548
numida_meleagris ENSNMEG00000017592
apteryx_haastii ENSAHAG00000003460
apteryx_owenii ENSAOWG00000017293
apteryx_rowi ENSARWG00000013476
dromaius_novaehollandiae ENSDNVG00000014167
nothoprocta_perdicaria ENSNPEG00000012310
crocodylus_porosus ENSCPRG00005017110
pelodiscus_sinensis ENSPSIG00000008705
pelodiscus_sinensis ENSPSIG00000009107
gopherus_agassizii ENSGAGG00000022335
chelonoidis_abingdonii ENSCABG00000020155
chrysemys_picta ENSCPBG00000005879
pogona_vitticeps ENSPVIG00000018231
anolis_carolinensis ENSACAG00000000765
notechis_scutatus ENSNSUG00000001068
salvator_merianae ENSSMRG00000022003
sphenodon_punctatus ENSSPUG00000003499
phascolarctos_cinereus ENSPCIG00000001724
notamacropus_eugenii ENSMEUG00000007313
monodelphis_domestica ENSMODG00000008590
sarcophilus_harrisii ENSSHAG00000002534
ursus_maritimus ENSUMAG00000006685
ailuropoda_melanoleuca ENSAMEG00000002749
mustela_putorius ENSMPUG00000005661
canis_lupus ENSCAFG00020027161
canis_lupus ENSCAFG00000011585
vulpes_vulpes ENSVVUG00000007314
felis_catus ENSFCAG00000042602
felis_catus ENSFCAG00000004254
sorex_araneus ENSSARG00000003985
panthera_pardus ENSPPRG00000013432
equus_caballus ENSECAG00000009930
equus_asinus ENSEASG00005012793
bos_mutus ENSBMUG00000007166
bos_taurus ENSBTAG00000000535
bison_bison ENSBBBG00000011811
capra_hircus ENSCHIG00000021717
ovis_aries ENSOARG00000003366
tursiops_truncatus ENSTTRG00000013024
sus_scrofa ENSSSCG00000010165
vicugna_pacos ENSVPAG00000004401
erinaceus_europaeus ENSEEUG00000012689
pan_troglodytes ENSPTRG00000002117
pan_paniscus ENSPPAG00000017694
homo_sapiens ENSG00000135749
gorilla_gorilla ENSGGOG00000034829
pongo_abelii ENSPPYG00000000107
nomascus_leucogenys ENSNLEG00000002367
chlorocebus_sabaeus ENSCSAG00000010186
chlorocebus_sabaeus ENSCSAG00000010192
mandrillus_leucophaeus ENSMLEG00000032256
cercocebus_atys ENSCATG00000018119
theropithecus_gelada ENSTGEG00000012582
papio_anubis ENSPANG00000016860
macaca_fascicularis ENSMFAG00000034561
macaca_mulatta ENSMMUG00000012615
macaca_nemestrina ENSMNEG00000031290
rhinopithecus_bieti ENSRBIG00000028124
piliocolobus_tephrosceles ENSPTEG00000035662
colobus_angolensis ENSCANG00000037393
rhinopithecus_roxellana ENSRROG00000014128
cebus_capucinus ENSCCAG00000037396
saimiri_boliviensis ENSSBOG00000033385
callithrix_jacchus ENSCJAG00000018267
aotus_nancymaae ENSANAG00000036460
carlito_syrichta ENSTSYG00000007589
propithecus_coquereli ENSPCOG00000018704
microcebus_murinus ENSMICG00000015490
prolemur_simus ENSPSMG00000023316
otolemur_garnettii ENSOGAG00000004635
ochotona_princeps ENSOPRG00000019075
ochotona_princeps ENSOPRG00000009028
oryctolagus_cuniculus ENSOCUG00000014363
mus_spicilegus ENSMSIG00000006318
mus_spretus MGP_SPRETEiJ_G0032840
mus_musculus ENSMUSG00000060212
mus_caroli MGP_CAROLIEiJ_G0031723
mus_pahari MGP_PahariEiJ_G0023321
rattus_norvegicus ENSRNOG00000028580
meriones_unguiculatus ENSMUGG00000008606
cricetulus_griseus ENSCGRG00001021346
cricetulus_griseus ENSCGRG00000012360
cricetulus_griseus ENSCGRG00015007594
mesocricetus_auratus ENSMAUG00000019465
peromyscus_maniculatus ENSPEMG00000018455
microtus_ochrogaster ENSMOCG00000006218
nannospalax_galili ENSNGAG00000018364
jaculus_jaculus ENSJJAG00000018916
castor_canadensis ENSCCNG00000017279
dipodomys_ordii ENSDORG00000014864
urocitellus_parryii ENSUPAG00010021456
spermophilus_dauricus ENSSDAG00000009099
ictidomys_tridecemlineatus ENSSTOG00000016530
marmota_marmota ENSMMMG00000015768
cavia_porcellus ENSCPOG00000008593
cavia_aperea ENSCAPG00000005313
chinchilla_lanigera ENSCLAG00000003984
octodon_degus ENSODEG00000004978
heterocephalus_glaber ENSHGLG00100003197
heterocephalus_glaber ENSHGLG00000013796
fukomys_damarensis ENSFDAG00000000433
tupaia_belangeri ENSTBEG00000016353
myotis_lucifugus ENSMLUG00000011167
pteropus_vampyrus ENSPVAG00000002730
sarcophilus_harrisii ENSSHAG00000001534
loxodonta_africana ENSLAFG00000017938
procavia_capensis ENSPCAG00000009488
echinops_telfairi ENSETEG00000015978
choloepus_hoffmanni ENSCHOG00000013925
dasypus_novemcinctus ENSDNOG00000001976
panthera_tigris ENSPTIG00000002957
