equus_caballus ENSECAG00000034979
equus_asinus ENSEASG00005023005
myotis_lucifugus ENSMLUG00000027197
capra_hircus ENSCHIG00000000318
ovis_aries ENSOARG00000009819
bos_taurus ENSBTAG00000016940
bos_indicus ENSBIXG00005027294
bos_mutus ENSBMUG00000025823
sus_scrofa ENSSSCG00000051076
ursus_americanus ENSUAMG00000010614
ailuropoda_melanoleuca ENSAMEG00000019220
mustela_putorius ENSMPUG00000000457
neovison_vison ENSNVIG00000018089
canis_lupus ENSCAFG00000019057
canis_lupus ENSCAFG00020024390
vulpes_vulpes ENSVVUG00000000672
felis_catus ENSFCAG00000049061
spermophilus_dauricus ENSSDAG00000014229
urocitellus_parryii ENSUPAG00010010082
marmota_marmota ENSMMMG00000012541
cricetulus_griseus ENSCGRG00015011692
peromyscus_maniculatus ENSPEMG00000028010
rattus_norvegicus ENSRNOG00000032418
oryctolagus_cuniculus ENSOCUG00000024125
loxodonta_africana ENSLAFG00000031155
dasypus_novemcinctus ENSDNOG00000044452
