amphilophus_citrinellus ENSACIG00000010443
neolamprologus_brichardi ENSNBRG00000003228
amphiprion_percula ENSAPEG00000017729
amphiprion_ocellaris ENSAOCG00000014754
acanthochromis_polyacanthus ENSAPOG00000011725
labrus_bergylta ENSLBEG00000014516
fundulus_heteroclitus ENSFHEG00000011377
oryzias_latipes_asm223469v1 ENSORLG00015010618
anabas_testudineus ENSATEG00000007516
esox_lucius ENSELUG00000017729
astyanax_mexicanus ENSAMXG00000032659
pygocentrus_nattereri ENSPNAG00000028271
ictalurus_punctatus ENSIPUG00000017835
ictalurus_punctatus ENSIPUG00000005124
paramormyrops_kingsleyae ENSPKIG00000019219
