xiphophorus_maculatus ENSXMAG00000026456
oryzias_melastigma ENSOMEG00000018522
haplochromis_burtoni ENSHBUG00000015229
neolamprologus_brichardi ENSNBRG00000014270
stegastes_partitus ENSSPAG00000020293
gouania_willdenowi ENSGWIG00000010788
monopterus_albus ENSMALG00000007606
seriola_lalandi ENSSLDG00000013827
mastacembelus_armatus ENSMAMG00000012117
lates_calcarifer ENSLCAG00010005330
larimichthys_crocea ENSLCRG00005003667
takifugu_rubripes ENSTRUG00000022188
periophthalmus_magnuspinnatus ENSPMGG00000021957
denticeps_clupeoides ENSDCDG00000024015
clupea_harengus ENSCHAG00000019915
ictalurus_punctatus ENSIPUG00000007975
serinus_canaria ENSSCAG00000005355
chrysemys_picta ENSCPBG00000015293
ursus_americanus ENSUAMG00000020535
ursus_maritimus ENSUMAG00000003353
neovison_vison ENSNVIG00000022613
equus_caballus ENSECAG00000030391
bos_taurus ENSBTAG00000051878
spermophilus_dauricus ENSSDAG00000004525
marmota_marmota ENSMMMG00000005771
mus_spicilegus ENSMSIG00000024559
pogona_vitticeps ENSPVIG00000021105
notechis_scutatus ENSNSUG00000012610
sphenodon_punctatus ENSSPUG00000019177
crocodylus_porosus ENSCPRG00005001903
anser_brachyrhynchus ENSABRG00000005087
pygocentrus_nattereri ENSPNAG00000018314
