chrysemys_picta ENSCPBG00000012273
gopherus_agassizii ENSGAGG00000004641
pogona_vitticeps ENSPVIG00000012790
anolis_carolinensis ENSACAG00000003972
notechis_scutatus ENSNSUG00000007693
salvator_merianae ENSSMRG00000021710
zonotrichia_albicollis ENSZALG00000006955
junco_hyemalis ENSJHYG00000018481
serinus_canaria ENSSCAG00000016744
taeniopygia_guttata ENSTGUG00000009186
taeniopygia_guttata ENSTGUG00000014103
lonchura_striata ENSLSDG00000006193
ficedula_albicollis ENSFALG00000008090
parus_major ENSPMJG00000003890
cyanistes_caeruleus ENSCCEG00000022252
manacus_vitellinus ENSMVIG00005018374
lepidothrix_coronata ENSLCOG00000016529
melopsittacus_undulatus ENSMUNG00000007679
calidris_pugnax ENSCPUG00000009450
calidris_pygmaea ENSCPGG00000016812
anas_platyrhynchos ENSAPLG00000008620
anser_brachyrhynchus ENSABRG00000002986
gallus_gallus ENSGALG00000007395
coturnix_japonica ENSCJPG00005019523
meleagris_gallopavo ENSMGAG00000009405
numida_meleagris ENSNMEG00000013935
nothoprocta_perdicaria ENSNPEG00000008563
nothoprocta_perdicaria ENSNPEG00000008577
apteryx_owenii ENSAOWG00000018113
apteryx_rowi ENSARWG00000002693
apteryx_haastii ENSAHAG00000013409
dromaius_novaehollandiae ENSDNVG00000018437
xenopus_tropicalis ENSXETG00000003758
denticeps_clupeoides ENSDCDG00000031290
clupea_harengus ENSCHAG00000017867
pygocentrus_nattereri ENSPNAG00000019522
astyanax_mexicanus ENSAMXG00000036660
electrophorus_electricus ENSEEEG00000013653
ictalurus_punctatus ENSIPUG00000008129
electrophorus_electricus ENSEEEG00000013600
electrophorus_electricus ENSEEEG00000013602
astyanax_mexicanus ENSAMXG00000033408
astyanax_mexicanus ENSAMXG00005012939
amphilophus_citrinellus ENSACIG00000022241
amphilophus_citrinellus ENSACIG00000022277
pundamilia_nyererei ENSPNYG00000008765
pundamilia_nyererei ENSPNYG00000008805
haplochromis_burtoni ENSHBUG00000002385
maylandia_zebra ENSMZEG00005000431
maylandia_zebra ENSMZEG00005000570
oreochromis_niloticus ENSONIG00000018322
neolamprologus_brichardi ENSNBRG00000021644
astatotilapia_calliptera ENSACLG00000008907
maylandia_zebra ENSMZEG00005001014
astatotilapia_calliptera ENSACLG00000008527
maylandia_zebra ENSMZEG00005000717
haplochromis_burtoni ENSHBUG00000001288
oreochromis_niloticus ENSONIG00000009455
pundamilia_nyererei ENSPNYG00000023887
maylandia_zebra ENSMZEG00005000888
parambassis_ranga ENSPRNG00000002516
amphiprion_ocellaris ENSAOCG00000019110
amphiprion_percula ENSAPEG00000014998
acanthochromis_polyacanthus ENSAPOG00000020777
stegastes_partitus ENSSPAG00000003056
mola_mola ENSMMOG00000010620
tetraodon_nigroviridis ENSTNIG00000016512
labrus_bergylta ENSLBEG00000016375
larimichthys_crocea ENSLCRG00005000488
cottoperca_gobio ENSCGOG00000012388
gasterosteus_aculeatus ENSGACG00000007419
seriola_dumerili ENSSDUG00000022658
seriola_lalandi ENSSLDG00000001830
lates_calcarifer ENSLCAG00010004966
scophthalmus_maximus ENSSMAG00000003547
cynoglossus_semilaevis ENSCSEG00000008259
mastacembelus_armatus ENSMAMG00000001950
monopterus_albus ENSMALG00000017081
anabas_testudineus ENSATEG00000000283
betta_splendens ENSBSLG00000017804
gouania_willdenowi ENSGWIG00000010336
fundulus_heteroclitus ENSFHEG00000003665
cyprinodon_variegatus ENSCVAG00000003033
poecilia_formosa ENSPFOG00000013938
poecilia_latipinna ENSPLAG00000006652
poecilia_mexicana ENSPMEG00000016596
poecilia_reticulata ENSPREG00000020351
xiphophorus_maculatus ENSXMAG00000013392
xiphophorus_couchianus ENSXCOG00000012188
xiphophorus_maculatus ENSXMAG00000002481
xiphophorus_couchianus ENSXCOG00000012227
gambusia_affinis ENSGAFG00000009281
poecilia_mexicana ENSPMEG00000005814
poecilia_latipinna ENSPLAG00000007213
poecilia_formosa ENSPFOG00000013051
poecilia_reticulata ENSPREG00000020066
fundulus_heteroclitus ENSFHEG00000002961
cyprinodon_variegatus ENSCVAG00000002698
kryptolebias_marmoratus ENSKMAG00000021067
oryzias_latipes ENSORLG00000027419
oryzias_latipes ENSORLG00015007658
oryzias_latipes ENSORLG00020002901
oryzias_melastigma ENSOMEG00000003010
oryzias_latipes ENSORLG00000008249
oryzias_latipes ENSORLG00015007572
oryzias_latipes ENSORLG00020002803
oryzias_melastigma ENSOMEG00000002962
hippocampus_comes ENSHCOG00000018973
periophthalmus_magnuspinnatus ENSPMGG00000020362
esox_lucius ENSELUG00000011778
hucho_hucho ENSHHUG00000009064
gadus_morhua ENSGMOG00000018157
paramormyrops_kingsleyae ENSPKIG00000008056
scleropages_formosus ENSSFOG00015015558
lepisosteus_oculatus ENSLOCG00000012775
erpetoichthys_calabaricus ENSECRG00000002106
latimeria_chalumnae ENSLACG00000008348
callorhinchus_milii ENSCMIG00000011106
chelonoidis_abingdonii ENSCABG00000008799
pelodiscus_sinensis ENSPSIG00000010682
sphenodon_punctatus ENSSPUG00000013623
astyanax_mexicanus ENSAMXG00005014543
astyanax_mexicanus ENSAMXG00000032430
petromyzon_marinus ENSPMAG00000003704
eptatretus_burgeri ENSEBUG00000010187
