macaca_nemestrina ENSMNEG00000025468
macaca_fascicularis ENSMFAG00000030659
papio_anubis ENSPANG00000035271
theropithecus_gelada ENSTGEG00000027484
mandrillus_leucophaeus ENSMLEG00000003269
colobus_angolensis_palliatus ENSCANG00000010762
callithrix_jacchus ENSCJAG00000043840
spermophilus_dauricus ENSSDAG00000021565
spermophilus_dauricus ENSSDAG00000000518
spermophilus_dauricus ENSSDAG00000016015
castor_canadensis ENSCCNG00000005169
panthera_pardus ENSPPRG00000019390
panthera_tigris_altaica ENSPTIG00000006901
felis_catus ENSFCAG00000045889
