chrysemys_picta_bellii ENSCPBG00000006040
gopherus_agassizii ENSGAGG00000012547
pelodiscus_sinensis ENSPSIG00000016057
crocodylus_porosus ENSCPRG00005003852
pogona_vitticeps ENSPVIG00000023154
salvator_merianae ENSSMRG00000022834
sphenodon_punctatus ENSSPUG00000000190
anser_brachyrhynchus ENSABRG00000008348
anas_platyrhynchos_platyrhynchos ENSAPLG00000010976
gallus_gallus ENSGALG00000016326
coturnix_japonica ENSCJPG00005017268
numida_meleagris ENSNMEG00000018524
serinus_canaria ENSSCAG00000015754
taeniopygia_guttata ENSTGUG00000007212
zonotrichia_albicollis ENSZALG00000018176
junco_hyemalis ENSJHYG00000009706
ficedula_albicollis ENSFALG00000004120
cyanistes_caeruleus ENSCCEG00000010533
parus_major ENSPMJG00000011219
melopsittacus_undulatus ENSMUNG00000004091
calidris_pygmaea ENSCPGG00000005674
calidris_pugnax ENSCPUG00000008769
apteryx_owenii ENSAOWG00000012430
dromaius_novaehollandiae ENSDNVG00000006577
ornithorhynchus_anatinus ENSOANG00000032123
xenopus_tropicalis ENSXETG00000024712
xenopus_tropicalis ENSXETG00000021810
latimeria_chalumnae ENSLACG00000005226
astyanax_mexicanus ENSAMXG00000033052
pygocentrus_nattereri ENSPNAG00000022759
ictalurus_punctatus ENSIPUG00000015533
danio_rerio ENSDARG00000045306
mola_mola ENSMMOG00000003702
takifugu_rubripes ENSTRUG00000008672
gasterosteus_aculeatus ENSGACG00000002620
poecilia_formosa ENSPFOG00000002267
poecilia_latipinna ENSPLAG00000005077
poecilia_mexicana ENSPMEG00000000188
poecilia_reticulata ENSPREG00000014333
xiphophorus_maculatus ENSXMAG00000019120
xiphophorus_couchianus ENSXCOG00000006779
gambusia_affinis ENSGAFG00000009246
cyprinodon_variegatus ENSCVAG00000006498
fundulus_heteroclitus ENSFHEG00000004696
kryptolebias_marmoratus ENSKMAG00000014723
oryzias_latipes_asm223469v1 ENSORLG00015018335
oryzias_latipes ENSORLG00000007561
oryzias_latipes ENSORLG00020017833
oryzias_melastigma ENSOMEG00000012321
seriola_lalandi_dorsalis ENSSLDG00000008408
seriola_dumerili ENSSDUG00000002616
scophthalmus_maximus ENSSMAG00000017705
cynoglossus_semilaevis ENSCSEG00000010911
periophthalmus_magnuspinnatus ENSPMGG00000019647
labrus_bergylta ENSLBEG00000017493
monopterus_albus ENSMALG00000009223
mastacembelus_armatus ENSMAMG00000022949
anabas_testudineus ENSATEG00000014266
amphiprion_percula ENSAPEG00000022975
amphiprion_ocellaris ENSAOCG00000002967
acanthochromis_polyacanthus ENSAPOG00000013261
stegastes_partitus ENSSPAG00000015389
astatotilapia_calliptera ENSACLG00000023080
maylandia_zebra ENSMZEG00005021322
pundamilia_nyererei ENSPNYG00000000418
haplochromis_burtoni ENSHBUG00000021520
neolamprologus_brichardi ENSNBRG00000001663
oreochromis_niloticus ENSONIG00000014364
amphilophus_citrinellus ENSACIG00000001866
hippocampus_comes ENSHCOG00000012685
gadus_morhua ENSGMOG00000012841
esox_lucius ENSELUG00000008941
fundulus_heteroclitus ENSFHEG00000015397
cyprinodon_variegatus ENSCVAG00000011251
xiphophorus_couchianus ENSXCOG00000017086
xiphophorus_maculatus ENSXMAG00000013076
gambusia_affinis ENSGAFG00000002570
poecilia_formosa ENSPFOG00000019263
poecilia_mexicana ENSPMEG00000001620
poecilia_latipinna ENSPLAG00000007862
poecilia_reticulata ENSPREG00000019892
oryzias_latipes_asm223469v1 ENSORLG00015012547
oryzias_latipes ENSORLG00000006465
oryzias_latipes ENSORLG00020007113
oryzias_melastigma ENSOMEG00000020942
pundamilia_nyererei ENSPNYG00000014293
haplochromis_burtoni ENSHBUG00000021239
maylandia_zebra ENSMZEG00005018469
astatotilapia_calliptera ENSACLG00000018886
oreochromis_niloticus ENSONIG00000005113
neolamprologus_brichardi ENSNBRG00000005121
tetraodon_nigroviridis ENSTNIG00000010016
takifugu_rubripes ENSTRUG00000016935
cynoglossus_semilaevis ENSCSEG00000008898
amphilophus_citrinellus ENSACIG00000002495
kryptolebias_marmoratus ENSKMAG00000018450
amphiprion_ocellaris ENSAOCG00000023917
amphiprion_percula ENSAPEG00000024429
acanthochromis_polyacanthus ENSAPOG00000007431
stegastes_partitus ENSSPAG00000000290
labrus_bergylta ENSLBEG00000004191
mola_mola ENSMMOG00000018651
seriola_lalandi_dorsalis ENSSLDG00000019018
seriola_dumerili ENSSDUG00000006042
scophthalmus_maximus ENSSMAG00000012208
gasterosteus_aculeatus ENSGACG00000020669
hippocampus_comes ENSHCOG00000020380
mastacembelus_armatus ENSMAMG00000017881
monopterus_albus ENSMALG00000014760
anabas_testudineus ENSATEG00000019278
periophthalmus_magnuspinnatus ENSPMGG00000005374
gadus_morhua ENSGMOG00000002218
esox_lucius ENSELUG00000000909
astyanax_mexicanus ENSAMXG00000019254
pygocentrus_nattereri ENSPNAG00000013485
ictalurus_punctatus ENSIPUG00000019533
paramormyrops_kingsleyae ENSPKIG00000019420
scleropages_formosus ENSSFOG00015012778
paramormyrops_kingsleyae ENSPKIG00000025040
scleropages_formosus ENSSFOG00015017741
lepisosteus_oculatus ENSLOCG00000001773
eptatretus_burgeri ENSEBUG00000010284
eptatretus_burgeri ENSEBUG00000007847
petromyzon_marinus ENSPMAG00000001833
scleropages_formosus ENSSFOG00015004536
paramormyrops_kingsleyae ENSPKIG00000017166
latimeria_chalumnae ENSLACG00000017632
petromyzon_marinus ENSPMAG00000001346
