ovis_aries ENSOARG00000018103
capra_hircus ENSCHIG00000021379
bos_mutus ENSBMUG00000013704
bos_taurus ENSBTAG00000006359
bison_bison_bison ENSBBBG00000014387
tursiops_truncatus ENSTTRG00000010811
sus_scrofa ENSSSCG00000016459
ursus_americanus ENSUAMG00000021898
ursus_maritimus ENSUMAG00000011706
ailuropoda_melanoleuca ENSAMEG00000006731
mustela_putorius_furo ENSMPUG00000007013
neovison_vison ENSNVIG00000002326
canis_lupus_familiaris ENSCAFG00000003578
canis_lupus_dingo ENSCAFG00020020716
vulpes_vulpes ENSVVUG00000016175
panthera_pardus ENSPPRG00000022379
panthera_tigris_altaica ENSPTIG00000008340
felis_catus ENSFCAG00000007281
pteropus_vampyrus ENSPVAG00000017293
myotis_lucifugus ENSMLUG00000015118
equus_asinus_asinus ENSEASG00005009226
equus_caballus ENSECAG00000023882
castor_canadensis ENSCCNG00000009298
dipodomys_ordii ENSDORG00000002190
mus_spicilegus ENSMSIG00000025754
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029297
mus_musculus ENSMUSG00000029859
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028293
mus_pahari MGP_PahariEiJ_G0022050
rattus_norvegicus ENSRNOG00000017525
meriones_unguiculatus ENSMUGG00000021325
microtus_ochrogaster ENSMOCG00000017615
peromyscus_maniculatus_bairdii ENSPEMG00000000528
cricetulus_griseus_chok1gshd ENSCGRG00001012301
cricetulus_griseus_crigri-picr ENSCGRG00015023805
cricetulus_griseus_crigri ENSCGRG00000008251
mesocricetus_auratus ENSMAUG00000017753
nannospalax_galili ENSNGAG00000022160
jaculus_jaculus ENSJJAG00000021813
cavia_porcellus ENSCPOG00000014707
cavia_aperea ENSCAPG00000007361
chinchilla_lanigera ENSCLAG00000001010
octodon_degus ENSODEG00000013070
heterocephalus_glaber_female ENSHGLG00000007593
heterocephalus_glaber_male ENSHGLG00100018795
fukomys_damarensis ENSFDAG00000001739
spermophilus_dauricus ENSSDAG00000004251
ictidomys_tridecemlineatus ENSSTOG00000005116
urocitellus_parryii ENSUPAG00010022788
marmota_marmota_marmota ENSMMMG00000007873
oryctolagus_cuniculus ENSOCUG00000011082
ochotona_princeps ENSOPRG00000009680
pan_troglodytes ENSPTRG00000044478
pan_troglodytes ENSPTRG00000019811
pan_paniscus ENSPPAG00000034192
homo_sapiens ENSG00000146904
gorilla_gorilla ENSGGOG00000000082
pongo_abelii ENSPPYG00000018119
nomascus_leucogenys ENSNLEG00000003297
piliocolobus_tephrosceles ENSPTEG00000032071
colobus_angolensis_palliatus ENSCANG00000002888
rhinopithecus_roxellana ENSRROG00000030399
rhinopithecus_bieti ENSRBIG00000039958
cercocebus_atys ENSCATG00000035726
mandrillus_leucophaeus ENSMLEG00000044456
theropithecus_gelada ENSTGEG00000000756
papio_anubis ENSPANG00000016464
macaca_fascicularis ENSMFAG00000035468
macaca_nemestrina ENSMNEG00000041795
chlorocebus_sabaeus ENSCSAG00000007186
cebus_capucinus ENSCCAG00000035821
saimiri_boliviensis_boliviensis ENSSBOG00000025999
aotus_nancymaae ENSANAG00000036617
callithrix_jacchus ENSCJAG00000009766
carlito_syrichta ENSTSYG00000004824
prolemur_simus ENSPSMG00000000765
propithecus_coquereli ENSPCOG00000025361
microcebus_murinus ENSMICG00000015546
otolemur_garnettii ENSOGAG00000013593
choloepus_hoffmanni ENSCHOG00000013054
dasypus_novemcinctus ENSDNOG00000013454
loxodonta_africana ENSLAFG00000026194
procavia_capensis ENSPCAG00000012073
echinops_telfairi ENSETEG00000010053
tupaia_belangeri ENSTBEG00000010949
erinaceus_europaeus ENSEEUG00000015656
phascolarctos_cinereus ENSPCIG00000014442
notamacropus_eugenii ENSMEUG00000016542
sarcophilus_harrisii ENSSHAG00000006808
monodelphis_domestica ENSMODG00000001465
ornithorhynchus_anatinus ENSOANG00000002167
ornithorhynchus_anatinus ENSOANG00000031968
ornithorhynchus_anatinus ENSOANG00000008762
pogona_vitticeps ENSPVIG00000009594
anolis_carolinensis ENSACAG00000007222
notechis_scutatus ENSNSUG00000008664
salvator_merianae ENSSMRG00000008160
sphenodon_punctatus ENSSPUG00000006164
anser_brachyrhynchus ENSABRG00000006022
anas_platyrhynchos_platyrhynchos ENSAPLG00000002800
coturnix_japonica ENSCJPG00005016957
meleagris_gallopavo ENSMGAG00000014177
gallus_gallus ENSGALG00000014687
numida_meleagris ENSNMEG00000016610
manacus_vitellinus ENSMVIG00005013704
lepidothrix_coronata ENSLCOG00000005622
lonchura_striata_domestica ENSLSDG00000012279
taeniopygia_guttata ENSTGUG00000013242
junco_hyemalis ENSJHYG00000010918
zonotrichia_albicollis ENSZALG00000005920
serinus_canaria ENSSCAG00000014915
cyanistes_caeruleus ENSCCEG00000013882
parus_major ENSPMJG00000006775
ficedula_albicollis ENSFALG00000004553
melopsittacus_undulatus ENSMUNG00000001208
calidris_pygmaea ENSCPGG00000006487
calidris_pugnax ENSCPUG00000005887
apteryx_haastii ENSAHAG00000001923
apteryx_owenii ENSAOWG00000011386
apteryx_rowi ENSARWG00000005254
dromaius_novaehollandiae ENSDNVG00000006173
nothoprocta_perdicaria ENSNPEG00000000690
crocodylus_porosus ENSCPRG00005009425
gopherus_agassizii ENSGAGG00000012583
chrysemys_picta_bellii ENSCPBG00000012862
chelonoidis_abingdonii ENSCABG00000010865
pelodiscus_sinensis ENSPSIG00000007954
