astyanax_mexicanus ENSAMXG00000041027
pygocentrus_nattereri ENSPNAG00000001785
ictalurus_punctatus ENSIPUG00000020457
danio_rerio ENSDARG00000042835
esox_lucius ENSELUG00000000646
lepisosteus_oculatus ENSLOCG00000008008
phascolarctos_cinereus ENSPCIG00000029174
notamacropus_eugenii ENSMEUG00000008570
monodelphis_domestica ENSMODG00000021234
sarcophilus_harrisii ENSSHAG00000016738
pan_troglodytes ENSPTRG00000015479
pan_paniscus ENSPPAG00000031311
gorilla_gorilla ENSGGOG00000007878
homo_sapiens ENSG00000114126
pongo_abelii ENSPPYG00000014170
nomascus_leucogenys ENSNLEG00000031256
cercocebus_atys ENSCATG00000035711
mandrillus_leucophaeus ENSMLEG00000028104
papio_anubis ENSPANG00000005825
theropithecus_gelada ENSTGEG00000008943
macaca_fascicularis ENSMFAG00000040035
macaca_mulatta ENSMMUG00000011134
macaca_nemestrina ENSMNEG00000039976
chlorocebus_sabaeus ENSCSAG00000011244
rhinopithecus_roxellana ENSRROG00000033835
rhinopithecus_bieti ENSRBIG00000027759
colobus_angolensis_palliatus ENSCANG00000041829
piliocolobus_tephrosceles ENSPTEG00000007998
callithrix_jacchus ENSCJAG00000001950
callithrix_jacchus ENSCJAG00000022803
saimiri_boliviensis_boliviensis ENSSBOG00000029977
cebus_capucinus ENSCCAG00000026731
aotus_nancymaae ENSANAG00000022473
carlito_syrichta ENSTSYG00000009267
carlito_syrichta ENSTSYG00000025825
microcebus_murinus ENSMICG00000049186
propithecus_coquereli ENSPCOG00000023612
heterocephalus_glaber_female ENSHGLG00000018483
heterocephalus_glaber_male ENSHGLG00100016931
heterocephalus_glaber_male ENSHGLG00100000950
heterocephalus_glaber_female ENSHGLG00000000265
heterocephalus_glaber_male ENSHGLG00100018488
heterocephalus_glaber_male ENSHGLG00100018978
heterocephalus_glaber_male ENSHGLG00100011286
heterocephalus_glaber_female ENSHGLG00000013441
fukomys_damarensis ENSFDAG00000009718
fukomys_damarensis ENSFDAG00000004050
octodon_degus ENSODEG00000009381
chinchilla_lanigera ENSCLAG00000003994
cavia_aperea ENSCAPG00000005598
cavia_porcellus ENSCPOG00000013203
ictidomys_tridecemlineatus ENSSTOG00000013241
spermophilus_dauricus ENSSDAG00000005839
marmota_marmota_marmota ENSMMMG00000017474
urocitellus_parryii ENSUPAG00010008140
mus_spicilegus ENSMSIG00000015771
mus_musculus ENSMUSG00000032411
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033680
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032537
mus_pahari MGP_PahariEiJ_G0015406
rattus_norvegicus ENSRNOG00000011241
