mola_mola ENSMMOG00000001322
labrus_bergylta ENSLBEG00000010784
gasterosteus_aculeatus ENSGACG00000019891
anabas_testudineus ENSATEG00000019900
scophthalmus_maximus ENSSMAG00000003626
oryzias_latipes ENSORLG00020011728
oryzias_latipes ENSORLG00000022679
oryzias_latipes_asm223469v1 ENSORLG00015010558
oryzias_melastigma ENSOMEG00000004981
poecilia_formosa ENSPFOG00000021678
poecilia_latipinna ENSPLAG00000003852
poecilia_mexicana ENSPMEG00000002431
xiphophorus_maculatus ENSXMAG00000029515
gambusia_affinis ENSGAFG00000017647
pundamilia_nyererei ENSPNYG00000016683
maylandia_zebra ENSMZEG00005003441
haplochromis_burtoni ENSHBUG00000010339
neolamprologus_brichardi ENSNBRG00000009237
gadus_morhua ENSGMOG00000012921
