esox_lucius ENSELUG00000006974
denticeps_clupeoides ENSDCDG00000026403
labrus_bergylta ENSLBEG00000025106
takifugu_rubripes ENSTRUG00000024937
periophthalmus_magnuspinnatus ENSPMGG00000021206
xiphophorus_maculatus ENSXMAG00000022575
xiphophorus_couchianus ENSXCOG00000015150
poecilia_mexicana ENSPMEG00000024461
fundulus_heteroclitus ENSFHEG00000007024
kryptolebias_marmoratus ENSKMAG00000009210
gouania_willdenowi ENSGWIG00000020011
cynoglossus_semilaevis ENSCSEG00000007955
cynoglossus_semilaevis ENSCSEG00000019104
cynoglossus_semilaevis ENSCSEG00000011587
scophthalmus_maximus ENSSMAG00000019674
poecilia_reticulata ENSPREG00000018939
poecilia_latipinna ENSPLAG00000002757
cyprinodon_variegatus ENSCVAG00000008708
seriola_lalandi ENSSLDG00000015853
seriola_dumerili ENSSDUG00000002427
parambassis_ranga ENSPRNG00000006819
betta_splendens ENSBSLG00000019609
mastacembelus_armatus ENSMAMG00000020892
cottoperca_gobio ENSCGOG00000001166
maylandia_zebra ENSMZEG00005018662
astatotilapia_calliptera ENSACLG00000019865
pundamilia_nyererei ENSPNYG00000004480
haplochromis_burtoni ENSHBUG00000008566
neolamprologus_brichardi ENSNBRG00000002404
amphilophus_citrinellus ENSACIG00000020093
amphiprion_percula ENSAPEG00000005058
acanthochromis_polyacanthus ENSAPOG00000015394
stegastes_partitus ENSSPAG00000009658
lates_calcarifer ENSLCAG00010018691
hippocampus_comes ENSHCOG00000003260
oryzias_melastigma ENSOMEG00000019081
electrophorus_electricus ENSEEEG00000021359
scleropages_formosus ENSSFOG00015017493
melopsittacus_undulatus ENSMUNG00000013292
xenopus_tropicalis ENSXETG00000012884
