mola_mola ENSMMOG00000000456
takifugu_rubripes ENSTRUG00000010374
gasterosteus_aculeatus ENSGACG00000009779
labrus_bergylta ENSLBEG00000015858
anabas_testudineus ENSATEG00000016990
mastacembelus_armatus ENSMAMG00000020386
monopterus_albus ENSMALG00000004396
scophthalmus_maximus ENSSMAG00000011854
cynoglossus_semilaevis ENSCSEG00000005410
seriola_lalandi_dorsalis ENSSLDG00000012118
seriola_dumerili ENSSDUG00000021490
amphiprion_percula ENSAPEG00000024370
amphiprion_ocellaris ENSAOCG00000020379
acanthochromis_polyacanthus ENSAPOG00000002782
stegastes_partitus ENSSPAG00000015990
maylandia_zebra ENSMZEG00005009430
maylandia_zebra ENSMZEG00005024643
haplochromis_burtoni ENSHBUG00000011506
astatotilapia_calliptera ENSACLG00000019099
pundamilia_nyererei ENSPNYG00000020093
neolamprologus_brichardi ENSNBRG00000022298
oreochromis_niloticus ENSONIG00000020329
amphilophus_citrinellus ENSACIG00000013194
xiphophorus_maculatus ENSXMAG00000010223
xiphophorus_couchianus ENSXCOG00000017298
gambusia_affinis ENSGAFG00000020361
poecilia_formosa ENSPFOG00000004349
poecilia_mexicana ENSPMEG00000021214
poecilia_latipinna ENSPLAG00000002673
poecilia_reticulata ENSPREG00000017523
fundulus_heteroclitus ENSFHEG00000000153
cyprinodon_variegatus ENSCVAG00000000611
kryptolebias_marmoratus ENSKMAG00000006429
gadus_morhua ENSGMOG00000009307
esox_lucius ENSELUG00000006181
pygocentrus_nattereri ENSPNAG00000016008
astyanax_mexicanus ENSAMXG00000033533
ictalurus_punctatus ENSIPUG00000022245
danio_rerio ENSDARG00000061260
paramormyrops_kingsleyae ENSPKIG00000023450
takifugu_rubripes ENSTRUG00000016951
ciona_savignyi ENSCSAVG00000007201
ciona_intestinalis ENSCING00000007177
