homo_sapiens ENSG00000204514
nomascus_leucogenys ENSNLEG00000030082
macaca_mulatta ENSMMUG00000002291
macaca_fascicularis ENSMFAG00000043396
papio_anubis ENSPANG00000012094
cercocebus_atys ENSCATG00000031757
mandrillus_leucophaeus ENSMLEG00000031311
rhinopithecus_bieti ENSRBIG00000040117
pan_paniscus ENSPPAG00000033970
pan_troglodytes ENSPTRG00000047697
gorilla_gorilla ENSGGOG00000040733
pan_troglodytes ENSPTRG00000022929
macaca_mulatta ENSMMUG00000030424
saimiri_boliviensis_boliviensis ENSSBOG00000024434
callithrix_jacchus ENSCJAG00000039469
