astatotilapia_calliptera ENSACLG00000006178
neolamprologus_brichardi ENSNBRG00000000108
oreochromis_niloticus ENSONIG00000013995
kryptolebias_marmoratus ENSKMAG00000003292
cyprinodon_variegatus ENSCVAG00000000080
amphiprion_ocellaris ENSAOCG00000006079
amphiprion_ocellaris ENSAOCG00000006050
amphiprion_percula ENSAPEG00000017421
amphiprion_ocellaris ENSAOCG00000021232
amphiprion_ocellaris ENSAOCG00000008732
amphiprion_ocellaris ENSAOCG00000021224
amphiprion_percula ENSAPEG00000023998
amphiprion_percula ENSAPEG00000024007
stegastes_partitus ENSSPAG00000010026
amphiprion_percula ENSAPEG00000015592
xiphophorus_maculatus ENSXMAG00000023844
xiphophorus_couchianus ENSXCOG00000008803
xiphophorus_maculatus ENSXMAG00000029245
poecilia_latipinna ENSPLAG00000001728
poecilia_mexicana ENSPMEG00000005065
poecilia_latipinna ENSPLAG00000001714
poecilia_reticulata ENSPREG00000005415
poecilia_latipinna ENSPLAG00000006795
xiphophorus_couchianus ENSXCOG00000006084
fundulus_heteroclitus ENSFHEG00000020577
cyprinodon_variegatus ENSCVAG00000020147
kryptolebias_marmoratus ENSKMAG00000016059
oryzias_latipes_asm223469v1 ENSORLG00015011412
stegastes_partitus ENSSPAG00000002369
labrus_bergylta ENSLBEG00000006644
anabas_testudineus ENSATEG00000020461
scophthalmus_maximus ENSSMAG00000004681
