mandrillus_leucophaeus ENSMLEG00000014819
theropithecus_gelada ENSTGEG00000007625
rhinopithecus_bieti ENSRBIG00000029755
pan_paniscus ENSPPAG00000035558
pan_troglodytes ENSPTRG00000030940
homo_sapiens ENSG00000198271
gorilla_gorilla ENSGGOG00000011004
pongo_abelii ENSPPYG00000008437
piliocolobus_tephrosceles ENSPTEG00000011711
macaca_nemestrina ENSMNEG00000035983
saimiri_boliviensis ENSSBOG00000024832
papio_anubis ENSPANG00000029933
otolemur_garnettii ENSOGAG00000003102
panthera_tigris ENSPTIG00000012077
