manacus_vitellinus ENSMVIG00005014170
calidris_pugnax ENSCPUG00000013146
notechis_scutatus ENSNSUG00000003892
chelonoidis_abingdonii ENSCABG00000016824
seriola_lalandi_dorsalis ENSSLDG00000011827
gadus_morhua ENSGMOG00000020103
amphilophus_citrinellus ENSACIG00000004845
amphilophus_citrinellus ENSACIG00000004763
amphilophus_citrinellus ENSACIG00000003948
amphilophus_citrinellus ENSACIG00000004740
neolamprologus_brichardi ENSNBRG00000000222
xiphophorus_couchianus ENSXCOG00000007093
xiphophorus_couchianus ENSXCOG00000011522
xiphophorus_maculatus ENSXMAG00000029221
stegastes_partitus ENSSPAG00000006453
anabas_testudineus ENSATEG00000002307
anabas_testudineus ENSATEG00000002293
gambusia_affinis ENSGAFG00000019318
periophthalmus_magnuspinnatus ENSPMGG00000003899
cynoglossus_semilaevis ENSCSEG00000018839
mastacembelus_armatus ENSMAMG00000010996
hippocampus_comes ENSHCOG00000000955
salvator_merianae ENSSMRG00000018715
ursus_americanus ENSUAMG00000013116
ursus_maritimus ENSUMAG00000021206
