mus_spicilegus ENSMSIG00000027870
rattus_norvegicus ENSRNOG00000042147
meriones_unguiculatus ENSMUGG00000005707
meriones_unguiculatus ENSMUGG00000002598
mesocricetus_auratus ENSMAUG00000020260
mesocricetus_auratus ENSMAUG00000019493
cricetulus_griseus_crigri-picr ENSCGRG00015020879
jaculus_jaculus ENSJJAG00000000544
dipodomys_ordii ENSDORG00000023427
octodon_degus ENSODEG00000010281
microcebus_murinus ENSMICG00000035006
otolemur_garnettii ENSOGAG00000025095
mandrillus_leucophaeus ENSMLEG00000017035
macaca_nemestrina ENSMNEG00000002858
gorilla_gorilla ENSGGOG00000024562
canis_lupus_familiaris ENSCAFG00000020296
ailuropoda_melanoleuca ENSAMEG00000018879
neovison_vison ENSNVIG00000019102
panthera_pardus ENSPPRG00000019766
panthera_pardus ENSPPRG00000019781
felis_catus ENSFCAG00000011802
mustela_putorius_furo ENSMPUG00000016238
capra_hircus ENSCHIG00000016117
equus_caballus ENSECAG00000034899
equus_caballus ENSECAG00000003023
equus_caballus ENSECAG00000036984
equus_caballus ENSECAG00000039990
equus_asinus_asinus ENSEASG00005022208
sus_scrofa ENSSSCG00000004463
dasypus_novemcinctus ENSDNOG00000046973
dasypus_novemcinctus ENSDNOG00000032461
dasypus_novemcinctus ENSDNOG00000049448
oryctolagus_cuniculus ENSOCUG00000027322
oryctolagus_cuniculus ENSOCUG00000022376
oryctolagus_cuniculus ENSOCUG00000026881
ornithorhynchus_anatinus ENSOANG00000008853
gasterosteus_aculeatus ENSGACG00000002699
