prolemur_simus ENSPSMG00000020835
microcebus_murinus ENSMICG00000035051
otolemur_garnettii ENSOGAG00000011385
pan_troglodytes ENSPTRG00000017341
pan_paniscus ENSPPAG00000020637
homo_sapiens ENSG00000120327
pongo_abelii ENSPPYG00000015881
nomascus_leucogenys ENSNLEG00000035733
theropithecus_gelada ENSTGEG00000026668
papio_anubis ENSPANG00000019433
macaca_fascicularis ENSMFAG00000026752
macaca_mulatta ENSMMUG00000019524
macaca_nemestrina ENSMNEG00000026635
mandrillus_leucophaeus ENSMLEG00000011157
cercocebus_atys ENSCATG00000002956
chlorocebus_sabaeus ENSCSAG00000012505
piliocolobus_tephrosceles ENSPTEG00000027529
rhinopithecus_roxellana ENSRROG00000003674
saimiri_boliviensis_boliviensis ENSSBOG00000036017
aotus_nancymaae ENSANAG00000028449
cebus_capucinus ENSCCAG00000031338
macaca_fascicularis ENSMFAG00000030389
chinchilla_lanigera ENSCLAG00000014158
octodon_degus ENSODEG00000011345
cavia_aperea ENSCAPG00000001054
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023086
mus_musculus ENSMUSG00000046191
mus_spicilegus ENSMSIG00000001734
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022176
mus_pahari MGP_PahariEiJ_G0018910
rattus_norvegicus ENSRNOG00000033123
cricetulus_griseus_chok1gshd ENSCGRG00001012147
cricetulus_griseus_crigri ENSCGRG00000005839
cricetulus_griseus_crigri-picr ENSCGRG00015000188
cricetulus_griseus_crigri ENSCGRG00000010406
spermophilus_dauricus ENSSDAG00000019204
marmota_marmota_marmota ENSMMMG00000011432
urocitellus_parryii ENSUPAG00010008097
castor_canadensis ENSCCNG00000009909
ochotona_princeps ENSOPRG00000004666
capra_hircus ENSCHIG00000006627
ovis_aries ENSOARG00000018844
vicugna_pacos ENSVPAG00000002472
tursiops_truncatus ENSTTRG00000004951
ursus_maritimus ENSUMAG00000012750
ursus_americanus ENSUAMG00000000264
ursus_maritimus ENSUMAG00000012763
ailuropoda_melanoleuca ENSAMEG00000010714
mustela_putorius_furo ENSMPUG00000008341
vulpes_vulpes ENSVVUG00000017410
canis_lupus_dingo ENSCAFG00020021244
felis_catus ENSFCAG00000003467
panthera_pardus ENSPPRG00000016317
equus_caballus ENSECAG00000031230
equus_asinus_asinus ENSEASG00005018123
pteropus_vampyrus ENSPVAG00000002366
