amphiprion_percula ENSAPEG00000011196
mastacembelus_armatus ENSMAMG00000007244
takifugu_rubripes ENSTRUG00000024643
cynoglossus_semilaevis ENSCSEG00000002139
cyprinodon_variegatus ENSCVAG00000018661
fundulus_heteroclitus ENSFHEG00000004624
xiphophorus_maculatus ENSXMAG00000012831
gambusia_affinis ENSGAFG00000013473
poecilia_formosa ENSPFOG00000022267
poecilia_mexicana ENSPMEG00000020051
poecilia_latipinna ENSPLAG00000006091
kryptolebias_marmoratus ENSKMAG00000009182
oryzias_latipes ENSORLG00000024728
oryzias_latipes ENSORLG00020010753
oryzias_latipes_asm223469v1 ENSORLG00015010150
oryzias_melastigma ENSOMEG00000020024
anabas_testudineus ENSATEG00000005657
monopterus_albus ENSMALG00000018910
scophthalmus_maximus ENSSMAG00000000536
maylandia_zebra ENSMZEG00005013457
astatotilapia_calliptera ENSACLG00000004183
haplochromis_burtoni ENSHBUG00000015453
oreochromis_niloticus ENSONIG00000000181
hippocampus_comes ENSHCOG00000011400
pygocentrus_nattereri ENSPNAG00000014596
ictalurus_punctatus ENSIPUG00000001303
danio_rerio ENSDARG00000076716
paramormyrops_kingsleyae ENSPKIG00000013032
lepisosteus_oculatus ENSLOCG00000005592
phascolarctos_cinereus ENSPCIG00000026628
notamacropus_eugenii ENSMEUG00000001335
sarcophilus_harrisii ENSSHAG00000003810
monodelphis_domestica ENSMODG00000006654
loxodonta_africana ENSLAFG00000001034
procavia_capensis ENSPCAG00000016016
echinops_telfairi ENSETEG00000013507
dasypus_novemcinctus ENSDNOG00000017609
choloepus_hoffmanni ENSCHOG00000003563
cavia_aperea ENSCAPG00000016189
cavia_porcellus ENSCPOG00000006889
chinchilla_lanigera ENSCLAG00000012591
heterocephalus_glaber_female ENSHGLG00000017886
heterocephalus_glaber_male ENSHGLG00100008995
fukomys_damarensis ENSFDAG00000011417
octodon_degus ENSODEG00000013941
spermophilus_dauricus ENSSDAG00000005467
urocitellus_parryii ENSUPAG00010010618
marmota_marmota_marmota ENSMMMG00000023190
ictidomys_tridecemlineatus ENSSTOG00000010936
castor_canadensis ENSCCNG00000022175
dipodomys_ordii ENSDORG00000012600
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031531
mus_musculus ENSMUSG00000044702
mus_spicilegus ENSMSIG00000028211
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030417
mus_pahari MGP_PahariEiJ_G0013627
rattus_norvegicus ENSRNOG00000025126
meriones_unguiculatus ENSMUGG00000010190
cricetulus_griseus_crigri ENSCGRG00000005204
cricetulus_griseus_crigri-picr ENSCGRG00015014785
cricetulus_griseus_chok1gshd ENSCGRG00001010961
mesocricetus_auratus ENSMAUG00000013320
peromyscus_maniculatus_bairdii ENSPEMG00000000815
microtus_ochrogaster ENSMOCG00000016478
nannospalax_galili ENSNGAG00000000882
jaculus_jaculus ENSJJAG00000018943
oryctolagus_cuniculus ENSOCUG00000008461
ochotona_princeps ENSOPRG00000012043
pan_troglodytes ENSPTRG00000007890
pan_paniscus ENSPPAG00000021559
homo_sapiens ENSG00000083093
gorilla_gorilla ENSGGOG00000012818
pongo_abelii ENSPPYG00000007193
nomascus_leucogenys ENSNLEG00000012023
theropithecus_gelada ENSTGEG00000019466
papio_anubis ENSPANG00000018524
mandrillus_leucophaeus ENSMLEG00000027904
cercocebus_atys ENSCATG00000042115
macaca_nemestrina ENSMNEG00000045413
macaca_mulatta ENSMMUG00000017304
macaca_fascicularis ENSMFAG00000003457
chlorocebus_sabaeus ENSCSAG00000006775
rhinopithecus_roxellana ENSRROG00000038205
rhinopithecus_bieti ENSRBIG00000028463
colobus_angolensis_palliatus ENSCANG00000014914
piliocolobus_tephrosceles ENSPTEG00000017135
cebus_capucinus ENSCCAG00000030821
saimiri_boliviensis_boliviensis ENSSBOG00000032436
callithrix_jacchus ENSCJAG00000020619
aotus_nancymaae ENSANAG00000034821
carlito_syrichta ENSTSYG00000014442
propithecus_coquereli ENSPCOG00000007601
microcebus_murinus ENSMICG00000007786
prolemur_simus ENSPSMG00000019001
tupaia_belangeri ENSTBEG00000006835
mustela_putorius_furo ENSMPUG00000012158
mustela_putorius_furo ENSMPUG00000012162
myotis_lucifugus ENSMLUG00000010471
pteropus_vampyrus ENSPVAG00000008440
equus_caballus ENSECAG00000008391
equus_asinus_asinus ENSEASG00005017634
capra_hircus ENSCHIG00000010148
ovis_aries ENSOARG00000017218
bos_taurus ENSBTAG00000006405
bos_mutus ENSBMUG00000022683
bison_bison_bison ENSBBBG00000020019
tursiops_truncatus ENSTTRG00000005260
sus_scrofa ENSSSCG00000010794
vicugna_pacos ENSVPAG00000006454
sorex_araneus ENSSARG00000010139
erinaceus_europaeus ENSEEUG00000015423
ursus_maritimus ENSUMAG00000008912
ursus_americanus ENSUAMG00000016923
ailuropoda_melanoleuca ENSAMEG00000014287
mustela_putorius_furo ENSMPUG00000005634
neovison_vison ENSNVIG00000005724
canis_lupus_dingo ENSCAFG00020021359
canis_lupus_familiaris ENSCAFG00000030772
vulpes_vulpes ENSVVUG00000006016
panthera_pardus ENSPPRG00000001308
panthera_tigris_altaica ENSPTIG00000018769
felis_catus ENSFCAG00000012942
ornithorhynchus_anatinus ENSOANG00000007671
apteryx_haastii ENSAHAG00000012363
apteryx_owenii ENSAOWG00000005601
apteryx_rowi ENSARWG00000002964
dromaius_novaehollandiae ENSDNVG00000012729
nothoprocta_perdicaria ENSNPEG00000012930
lonchura_striata_domestica ENSLSDG00000000381
taeniopygia_guttata ENSTGUG00000006104
ficedula_albicollis ENSFALG00000003745
zonotrichia_albicollis ENSZALG00000009089
junco_hyemalis ENSJHYG00000002165
serinus_canaria ENSSCAG00000003466
parus_major ENSPMJG00000000126
cyanistes_caeruleus ENSCCEG00000023186
ficedula_albicollis ENSFALG00000003769
lepidothrix_coronata ENSLCOG00000011206
manacus_vitellinus ENSMVIG00005008315
melopsittacus_undulatus ENSMUNG00000002612
calidris_pugnax ENSCPUG00000016651
calidris_pygmaea ENSCPGG00000014403
gallus_gallus ENSGALG00000006078
meleagris_gallopavo ENSMGAG00000006488
coturnix_japonica ENSCJPG00005010235
numida_meleagris ENSNMEG00000012164
anas_platyrhynchos_platyrhynchos ENSAPLG00000010279
anser_brachyrhynchus ENSABRG00000021349
crocodylus_porosus ENSCPRG00005011139
gopherus_agassizii ENSGAGG00000002523
chelonoidis_abingdonii ENSCABG00000016497
chrysemys_picta_bellii ENSCPBG00000001935
pelodiscus_sinensis ENSPSIG00000005737
anolis_carolinensis ENSACAG00000012053
anolis_carolinensis ENSACAG00000022548
pogona_vitticeps ENSPVIG00000009430
notechis_scutatus ENSNSUG00000018384
salvator_merianae ENSSMRG00000016819
sphenodon_punctatus ENSSPUG00000010465
xenopus_tropicalis ENSXETG00000031275
latimeria_chalumnae ENSLACG00000001754
