sphenodon_punctatus ENSSPUG00000011596
zonotrichia_albicollis ENSZALG00000012460
marmota_marmota_marmota ENSMMMG00000012149
mesocricetus_auratus ENSMAUG00000016728
microcebus_murinus ENSMICG00000047992
otolemur_garnettii ENSOGAG00000006784
carlito_syrichta ENSTSYG00000027684
pan_paniscus ENSPPAG00000027455
gorilla_gorilla ENSGGOG00000023840
aotus_nancymaae ENSANAG00000025655
microcebus_murinus ENSMICG00000044390
sus_scrofa ENSSSCG00000040726
sus_scrofa ENSSSCG00000008860
sus_scrofa ENSSSCG00000038106
equus_caballus ENSECAG00000023284
gorilla_gorilla ENSGGOG00000026071
ictidomys_tridecemlineatus ENSSTOG00000024314
neovison_vison ENSNVIG00000010369
urocitellus_parryii ENSUPAG00010009343
vulpes_vulpes ENSVVUG00000004434
microtus_ochrogaster ENSMOCG00000000975
