calidris_pugnax ENSCPUG00000003163
calidris_pygmaea ENSCPGG00000010784
melopsittacus_undulatus ENSMUNG00000009041
parus_major ENSPMJG00000019474
cyanistes_caeruleus ENSCCEG00000016172
ficedula_albicollis ENSFALG00000005715
junco_hyemalis ENSJHYG00000004239
zonotrichia_albicollis ENSZALG00000007550
serinus_canaria ENSSCAG00000014480
taeniopygia_guttata ENSTGUG00000007000
lonchura_striata_domestica ENSLSDG00000011831
lepidothrix_coronata ENSLCOG00000001219
manacus_vitellinus ENSMVIG00005020015
anser_brachyrhynchus ENSABRG00000018199
anas_platyrhynchos_platyrhynchos ENSAPLG00000007892
gallus_gallus ENSGALG00000008988
coturnix_japonica ENSCJPG00005009039
meleagris_gallopavo ENSMGAG00000009582
numida_meleagris ENSNMEG00000021249
apteryx_haastii ENSAHAG00000013001
apteryx_owenii ENSAOWG00000010329
apteryx_rowi ENSARWG00000001366
dromaius_novaehollandiae ENSDNVG00000001446
nothoprocta_perdicaria ENSNPEG00000013618
crocodylus_porosus ENSCPRG00005017240
gopherus_agassizii ENSGAGG00000009094
chelonoidis_abingdonii ENSCABG00000006041
chrysemys_picta_bellii ENSCPBG00000017003
pelodiscus_sinensis ENSPSIG00000011052
pogona_vitticeps ENSPVIG00000003015
anolis_carolinensis ENSACAG00000006005
notechis_scutatus ENSNSUG00000007586
salvator_merianae ENSSMRG00000020192
sphenodon_punctatus ENSSPUG00000008053
loxodonta_africana ENSLAFG00000011398
procavia_capensis ENSPCAG00000016692
echinops_telfairi ENSETEG00000013187
dasypus_novemcinctus ENSDNOG00000000463
dasypus_novemcinctus ENSDNOG00000039791
choloepus_hoffmanni ENSCHOG00000007997
propithecus_coquereli ENSPCOG00000025285
microcebus_murinus ENSMICG00000004495
prolemur_simus ENSPSMG00000015673
otolemur_garnettii ENSOGAG00000014210
homo_sapiens ENSG00000036549
gorilla_gorilla ENSGGOG00000009242
pan_paniscus ENSPPAG00000039210
pan_troglodytes ENSPTRG00000000881
pongo_abelii ENSPPYG00000001223
nomascus_leucogenys ENSNLEG00000009672
colobus_angolensis_palliatus ENSCANG00000038173
piliocolobus_tephrosceles ENSPTEG00000034641
rhinopithecus_roxellana ENSRROG00000037949
rhinopithecus_bieti ENSRBIG00000042574
macaca_nemestrina ENSMNEG00000039203
macaca_fascicularis ENSMFAG00000043408
cercocebus_atys ENSCATG00000044640
mandrillus_leucophaeus ENSMLEG00000038008
