stegastes_partitus ENSSPAG00000008540
oryzias_latipes ENSORLG00000026139
pundamilia_nyererei ENSPNYG00000006982
haplochromis_burtoni ENSHBUG00000001406
astatotilapia_calliptera ENSACLG00000000697
neolamprologus_brichardi ENSNBRG00000011345
poecilia_mexicana ENSPMEG00000021748
poecilia_formosa ENSPFOG00000008111
poecilia_latipinna ENSPLAG00000020796
poecilia_reticulata ENSPREG00000015425
xiphophorus_couchianus ENSXCOG00000008754
xiphophorus_maculatus ENSXMAG00000022828
poecilia_formosa ENSPFOG00000008114
poecilia_mexicana ENSPMEG00000021730
poecilia_latipinna ENSPLAG00000020785
poecilia_reticulata ENSPREG00000015407
gambusia_affinis ENSGAFG00000011870
fundulus_heteroclitus ENSFHEG00000004719
xiphophorus_maculatus ENSXMAG00000003952
xiphophorus_couchianus ENSXCOG00000008753
fundulus_heteroclitus ENSFHEG00000004705
maylandia_zebra ENSMZEG00005001934
labrus_bergylta ENSLBEG00000002203
seriola_dumerili ENSSDUG00000005090
anabas_testudineus ENSATEG00000013097
astyanax_mexicanus ENSAMXG00000030059
paramormyrops_kingsleyae ENSPKIG00000017101
scleropages_formosus ENSSFOG00015008866
