pan_paniscus ENSPPAG00000027576
pan_troglodytes ENSPTRG00000013946
homo_sapiens ENSG00000160191
pongo_abelii ENSPPYG00000011457
nomascus_leucogenys ENSNLEG00000014628
gorilla_gorilla ENSGGOG00000014263
colobus_angolensis_palliatus ENSCANG00000034353
piliocolobus_tephrosceles ENSPTEG00000013956
rhinopithecus_bieti ENSRBIG00000028089
rhinopithecus_roxellana ENSRROG00000040954
mandrillus_leucophaeus ENSMLEG00000027650
cercocebus_atys ENSCATG00000039788
papio_anubis ENSPANG00000023247
theropithecus_gelada ENSTGEG00000021775
chlorocebus_sabaeus ENSCSAG00000008068
macaca_mulatta ENSMMUG00000022107
macaca_fascicularis ENSMFAG00000036884
macaca_nemestrina ENSMNEG00000035281
saimiri_boliviensis_boliviensis ENSSBOG00000027099
callithrix_jacchus ENSCJAG00000015729
cebus_capucinus ENSCCAG00000001044
aotus_nancymaae ENSANAG00000037833
carlito_syrichta ENSTSYG00000011567
propithecus_coquereli ENSPCOG00000011154
prolemur_simus ENSPSMG00000020016
microcebus_murinus ENSMICG00000016258
otolemur_garnettii ENSOGAG00000015745
heterocephalus_glaber_male ENSHGLG00100014549
heterocephalus_glaber_female ENSHGLG00000019554
fukomys_damarensis ENSFDAG00000005316
cavia_porcellus ENSCPOG00000014197
cavia_aperea ENSCAPG00000001186
chinchilla_lanigera ENSCLAG00000005531
octodon_degus ENSODEG00000013816
urocitellus_parryii ENSUPAG00010003388
ictidomys_tridecemlineatus ENSSTOG00000001452
spermophilus_dauricus ENSSDAG00000020477
marmota_marmota_marmota ENSMMMG00000010894
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022281
mus_musculus ENSMUSG00000041119
mus_spicilegus ENSMSIG00000011826
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021367
mus_pahari MGP_PahariEiJ_G0023686
rattus_norvegicus ENSRNOG00000001174
meriones_unguiculatus ENSMUGG00000008104
cricetulus_griseus_crigri ENSCGRG00000009356
cricetulus_griseus_crigri-picr ENSCGRG00015022926
cricetulus_griseus_chok1gshd ENSCGRG00001020664
mesocricetus_auratus ENSMAUG00000001943
peromyscus_maniculatus_bairdii ENSPEMG00000023664
microtus_ochrogaster ENSMOCG00000012568
nannospalax_galili ENSNGAG00000014370
jaculus_jaculus ENSJJAG00000022814
castor_canadensis ENSCCNG00000020836
dipodomys_ordii ENSDORG00000002149
ochotona_princeps ENSOPRG00000002691
oryctolagus_cuniculus ENSOCUG00000004382
tupaia_belangeri ENSTBEG00000010351
myotis_lucifugus ENSMLUG00000024657
pteropus_vampyrus ENSPVAG00000013219
capra_hircus ENSCHIG00000017496
ovis_aries ENSOARG00000010984
bos_mutus ENSBMUG00000012397
bos_taurus ENSBTAG00000021899
bison_bison_bison ENSBBBG00000014410
sus_scrofa ENSSSCG00000030016
tursiops_truncatus ENSTTRG00000009597
ursus_americanus ENSUAMG00000000812
ursus_maritimus ENSUMAG00000025540
ailuropoda_melanoleuca ENSAMEG00000001848
neovison_vison ENSNVIG00000006007
mustela_putorius_furo ENSMPUG00000009433
canis_lupus_familiaris ENSCAFG00000010487
canis_lupus_dingo ENSCAFG00020018526
vulpes_vulpes ENSVVUG00000016818
panthera_pardus ENSPPRG00000008728
panthera_tigris_altaica ENSPTIG00000019234
felis_catus ENSFCAG00000003965
equus_asinus_asinus ENSEASG00005003769
equus_caballus ENSECAG00000017519
