mesocricetus_auratus ENSMAUG00000017625
cricetulus_griseus_chok1gshd ENSCGRG00001013415
microtus_ochrogaster ENSMOCG00000008600
rattus_norvegicus ENSRNOG00000010415
nannospalax_galili ENSNGAG00000019131
dipodomys_ordii ENSDORG00000024300
heterocephalus_glaber_female ENSHGLG00000005274
heterocephalus_glaber_male ENSHGLG00100008482
fukomys_damarensis ENSFDAG00000014555
chinchilla_lanigera ENSCLAG00000012657
jaculus_jaculus ENSJJAG00000020316
cricetulus_griseus_crigri ENSCGRG00000011214
cavia_aperea ENSCAPG00000014775
octodon_degus ENSODEG00000012942
nomascus_leucogenys ENSNLEG00000008907
ursus_maritimus ENSUMAG00000018339
canis_lupus_dingo ENSCAFG00020023072
panthera_pardus ENSPPRG00000002381
bos_taurus ENSBTAG00000049733
equus_caballus ENSECAG00000036126
echinops_telfairi ENSETEG00000018185
monodelphis_domestica ENSMODG00000025475
octodon_degus ENSODEG00000002991
mus_spicilegus ENSMSIG00000004759
vulpes_vulpes ENSVVUG00000014426
ovis_aries ENSOARG00000003863
myotis_lucifugus ENSMLUG00000030703
ornithorhynchus_anatinus ENSOANG00000032287
nothoprocta_perdicaria ENSNPEG00000016132
chelonoidis_abingdonii ENSCABG00000000261
notechis_scutatus ENSNSUG00000000046
paramormyrops_kingsleyae ENSPKIG00000017106
