canis_lupus_familiaris ENSCAFG00000015715
canis_lupus_dingo ENSCAFG00020013100
vulpes_vulpes ENSVVUG00000029857
neovison_vison ENSNVIG00000020874
ursus_americanus ENSUAMG00000025976
ursus_maritimus ENSUMAG00000014404
panthera_pardus ENSPPRG00000010596
panthera_tigris_altaica ENSPTIG00000012993
felis_catus ENSFCAG00000026508
pteropus_vampyrus ENSPVAG00000003469
myotis_lucifugus ENSMLUG00000024698
equus_caballus ENSECAG00000017332
equus_asinus_asinus ENSEASG00005011236
sorex_araneus ENSSARG00000008687
erinaceus_europaeus ENSEEUG00000006086
bos_mutus ENSBMUG00000023373
bos_taurus ENSBTAG00000010470
bison_bison_bison ENSBBBG00000019369
capra_hircus ENSCHIG00000018953
tursiops_truncatus ENSTTRG00000002470
sus_scrofa ENSSSCG00000038370
vicugna_pacos ENSVPAG00000009527
pan_troglodytes ENSPTRG00000028607
pan_paniscus ENSPPAG00000012147
homo_sapiens ENSG00000204922
gorilla_gorilla ENSGGOG00000027467
pongo_abelii ENSPPYG00000003154
nomascus_leucogenys ENSNLEG00000035136
macaca_nemestrina ENSMNEG00000009079
macaca_mulatta ENSMMUG00000013950
papio_anubis ENSPANG00000035430
theropithecus_gelada ENSTGEG00000015925
chlorocebus_sabaeus ENSCSAG00000006653
cercocebus_atys ENSCATG00000015726
mandrillus_leucophaeus ENSMLEG00000042115
colobus_angolensis_palliatus ENSCANG00000043526
piliocolobus_tephrosceles ENSPTEG00000013206
rhinopithecus_roxellana ENSRROG00000007192
rhinopithecus_bieti ENSRBIG00000038515
cebus_capucinus ENSCCAG00000030092
saimiri_boliviensis_boliviensis ENSSBOG00000032621
callithrix_jacchus ENSCJAG00000040966
aotus_nancymaae ENSANAG00000035176
carlito_syrichta ENSTSYG00000006832
prolemur_simus ENSPSMG00000022737
microcebus_murinus ENSMICG00000026609
propithecus_coquereli ENSPCOG00000019522
otolemur_garnettii ENSOGAG00000028729
tupaia_belangeri ENSTBEG00000008567
mus_musculus ENSMUSG00000071654
mus_spicilegus ENSMSIG00000030087
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023574
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022661
mus_pahari MGP_PahariEiJ_G0014156
rattus_norvegicus ENSRNOG00000045561
meriones_unguiculatus ENSMUGG00000002363
peromyscus_maniculatus_bairdii ENSPEMG00000030804
microtus_ochrogaster ENSMOCG00000009973
cricetulus_griseus_chok1gshd ENSCGRG00001016702
cricetulus_griseus_crigri-picr ENSCGRG00015004619
nannospalax_galili ENSNGAG00000012681
jaculus_jaculus ENSJJAG00000022865
spermophilus_dauricus ENSSDAG00000006570
urocitellus_parryii ENSUPAG00010005149
ictidomys_tridecemlineatus ENSSTOG00000029463
marmota_marmota_marmota ENSMMMG00000002655
castor_canadensis ENSCCNG00000008277
dipodomys_ordii ENSDORG00000025423
chinchilla_lanigera ENSCLAG00000000136
cavia_porcellus ENSCPOG00000035939
heterocephalus_glaber_male ENSHGLG00100019020
heterocephalus_glaber_female ENSHGLG00000002625
fukomys_damarensis ENSFDAG00000013776
octodon_degus ENSODEG00000003020
ochotona_princeps ENSOPRG00000014686
oryctolagus_cuniculus ENSOCUG00000017252
dasypus_novemcinctus ENSDNOG00000002774
choloepus_hoffmanni ENSCHOG00000002929
loxodonta_africana ENSLAFG00000013152
procavia_capensis ENSPCAG00000015788
echinops_telfairi ENSETEG00000004143
phascolarctos_cinereus ENSPCIG00000015380
notamacropus_eugenii ENSMEUG00000009457
monodelphis_domestica ENSMODG00000011952
sarcophilus_harrisii ENSSHAG00000004893
