scophthalmus_maximus ENSSMAG00000003251
cynoglossus_semilaevis ENSCSEG00000017783
seriola_lalandi_dorsalis ENSSLDG00000019223
seriola_dumerili ENSSDUG00000002524
monopterus_albus ENSMALG00000017767
hippocampus_comes ENSHCOG00000003534
maylandia_zebra ENSMZEG00005007254
haplochromis_burtoni ENSHBUG00000000075
astatotilapia_calliptera ENSACLG00000013887
pundamilia_nyererei ENSPNYG00000015973
neolamprologus_brichardi ENSNBRG00000014690
astatotilapia_calliptera ENSACLG00000013890
maylandia_zebra ENSMZEG00005007247
haplochromis_burtoni ENSHBUG00000003508
pundamilia_nyererei ENSPNYG00000015968
neolamprologus_brichardi ENSNBRG00000014684
amphilophus_citrinellus ENSACIG00000004178
maylandia_zebra ENSMZEG00005007240
astatotilapia_calliptera ENSACLG00000013899
pundamilia_nyererei ENSPNYG00000015963
haplochromis_burtoni ENSHBUG00000003515
neolamprologus_brichardi ENSNBRG00000014670
amphilophus_citrinellus ENSACIG00000004167
periophthalmus_magnuspinnatus ENSPMGG00000017140
labrus_bergylta ENSLBEG00000018867
amphiprion_percula ENSAPEG00000006446
amphiprion_ocellaris ENSAOCG00000011511
acanthochromis_polyacanthus ENSAPOG00000018902
stegastes_partitus ENSSPAG00000009237
poecilia_latipinna ENSPLAG00000003305
poecilia_mexicana ENSPMEG00000010550
poecilia_formosa ENSPFOG00000022455
poecilia_reticulata ENSPREG00000015875
gambusia_affinis ENSGAFG00000012146
cyprinodon_variegatus ENSCVAG00000000533
mola_mola ENSMMOG00000001123
gasterosteus_aculeatus ENSGACG00000006689
