amphiprion_percula ENSAPEG00000003330
amphiprion_ocellaris ENSAOCG00000018317
stegastes_partitus ENSSPAG00000018338
astatotilapia_calliptera ENSACLG00000004535
maylandia_zebra ENSMZEG00005028495
maylandia_zebra ENSMZEG00005028525
maylandia_zebra ENSMZEG00005025668
astatotilapia_calliptera ENSACLG00000004480
maylandia_zebra ENSMZEG00005025942
maylandia_zebra ENSMZEG00005003614
astatotilapia_calliptera ENSACLG00000006787
maylandia_zebra ENSMZEG00005028328
maylandia_zebra ENSMZEG00005023563
astatotilapia_calliptera ENSACLG00000016977
maylandia_zebra ENSMZEG00005021861
astatotilapia_calliptera ENSACLG00000004644
maylandia_zebra ENSMZEG00005022777
astatotilapia_calliptera ENSACLG00000001849
maylandia_zebra ENSMZEG00005023728
oreochromis_niloticus ENSONIG00000015374
