homo_sapiens ENSG00000184730
gorilla_gorilla ENSGGOG00000001087
pan_troglodytes ENSPTRG00000050722
pongo_abelii ENSPPYG00000007230
nomascus_leucogenys ENSNLEG00000029244
theropithecus_gelada ENSTGEG00000014828
papio_anubis ENSPANG00000019063
mandrillus_leucophaeus ENSMLEG00000035916
cercocebus_atys ENSCATG00000012046
macaca_mulatta ENSMMUG00000000707
macaca_fascicularis ENSMFAG00000044719
macaca_nemestrina ENSMNEG00000033686
chlorocebus_sabaeus ENSCSAG00000006282
rhinopithecus_roxellana ENSRROG00000043816
rhinopithecus_bieti ENSRBIG00000044956
colobus_angolensis_palliatus ENSCANG00000005394
piliocolobus_tephrosceles ENSPTEG00000023477
cebus_capucinus ENSCCAG00000026230
saimiri_boliviensis_boliviensis ENSSBOG00000019677
aotus_nancymaae ENSANAG00000037115
carlito_syrichta ENSTSYG00000005421
propithecus_coquereli ENSPCOG00000016637
microcebus_murinus ENSMICG00000009874
prolemur_simus ENSPSMG00000000129
otolemur_garnettii ENSOGAG00000027283
tupaia_belangeri ENSTBEG00000005501
chinchilla_lanigera ENSCLAG00000012149
octodon_degus ENSODEG00000015006
cavia_porcellus ENSCPOG00000002459
cavia_aperea ENSCAPG00000008133
heterocephalus_glaber_male ENSHGLG00100000396
heterocephalus_glaber_female ENSHGLG00000013925
fukomys_damarensis ENSFDAG00000000310
ictidomys_tridecemlineatus ENSSTOG00000029252
marmota_marmota_marmota ENSMMMG00000023633
urocitellus_parryii ENSUPAG00010011897
spermophilus_dauricus ENSSDAG00000007986
castor_canadensis ENSCCNG00000000428
dipodomys_ordii ENSDORG00000023730
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031567
mus_spicilegus ENSMSIG00000015826
mus_musculus ENSMUSG00000042759
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030453
mus_pahari MGP_PahariEiJ_G0013663
rattus_norvegicus ENSRNOG00000017403
meriones_unguiculatus ENSMUGG00000011932
cricetulus_griseus_crigri-picr ENSCGRG00015025707
cricetulus_griseus_crigri ENSCGRG00000015289
cricetulus_griseus_chok1gshd ENSCGRG00001008061
microtus_ochrogaster ENSMOCG00000017593
peromyscus_maniculatus_bairdii ENSPEMG00000010718
nannospalax_galili ENSNGAG00000005895
jaculus_jaculus ENSJJAG00000020781
oryctolagus_cuniculus ENSOCUG00000013076
ochotona_princeps ENSOPRG00000002137
loxodonta_africana ENSLAFG00000022087
procavia_capensis ENSPCAG00000007090
dasypus_novemcinctus ENSDNOG00000039014
pteropus_vampyrus ENSPVAG00000001205
myotis_lucifugus ENSMLUG00000003173
equus_asinus_asinus ENSEASG00005014759
equus_caballus ENSECAG00000016962
panthera_pardus ENSPPRG00000007159
panthera_tigris_altaica ENSPTIG00000015631
erinaceus_europaeus ENSEEUG00000005814
ursus_americanus ENSUAMG00000010153
ursus_maritimus ENSUMAG00000010941
ailuropoda_melanoleuca ENSAMEG00000015415
neovison_vison ENSNVIG00000001411
mustela_putorius_furo ENSMPUG00000012721
canis_lupus_dingo ENSCAFG00020017593
canis_lupus_familiaris ENSCAFG00000017135
vulpes_vulpes ENSVVUG00000025984
bos_mutus ENSBMUG00000000265
bison_bison_bison ENSBBBG00000017816
capra_hircus ENSCHIG00000021439
ovis_aries ENSOARG00000003124
bos_taurus ENSBTAG00000050361
sus_scrofa ENSSSCG00000033623
sarcophilus_harrisii ENSSHAG00000011650
ornithorhynchus_anatinus ENSOANG00000032172
