caenorhabditis_elegans WBGene00017162
callorhinchus_milii ENSCMIG00000002562
petromyzon_marinus ENSPMAG00000008625
eptatretus_burgeri ENSEBUG00000003319
xiphophorus_couchianus ENSXCOG00000011648
xiphophorus_maculatus ENSXMAG00000017387
gambusia_affinis ENSGAFG00000012366
poecilia_latipinna ENSPLAG00000005052
poecilia_formosa ENSPFOG00000012159
poecilia_mexicana ENSPMEG00000015385
poecilia_reticulata ENSPREG00000007074
fundulus_heteroclitus ENSFHEG00000017499
cyprinodon_variegatus ENSCVAG00000015745
kryptolebias_marmoratus ENSKMAG00000012060
oryzias_latipes ENSORLG00020017586
oryzias_latipes ENSORLG00000012330
oryzias_latipes ENSORLG00015012361
oryzias_melastigma ENSOMEG00000006453
amphiprion_ocellaris ENSAOCG00000017348
amphiprion_percula ENSAPEG00000016857
acanthochromis_polyacanthus ENSAPOG00000003760
stegastes_partitus ENSSPAG00000016482
parambassis_ranga ENSPRNG00000011174
maylandia_zebra ENSMZEG00005026086
pundamilia_nyererei ENSPNYG00000021038
haplochromis_burtoni ENSHBUG00000011876
neolamprologus_brichardi ENSNBRG00000022928
oreochromis_niloticus ENSONIG00000017048
amphilophus_citrinellus ENSACIG00000000022
mastacembelus_armatus ENSMAMG00000024144
monopterus_albus ENSMALG00000022366
anabas_testudineus ENSATEG00000016800
betta_splendens ENSBSLG00000012263
seriola_dumerili ENSSDUG00000022459
seriola_lalandi ENSSLDG00000010453
lates_calcarifer ENSLCAG00010019549
cottoperca_gobio ENSCGOG00000008691
mola_mola ENSMMOG00000012406
larimichthys_crocea ENSLCRG00005006872
labrus_bergylta ENSLBEG00000019475
tetraodon_nigroviridis ENSTNIG00000019621
takifugu_rubripes ENSTRUG00000000455
gasterosteus_aculeatus ENSGACG00000003024
scophthalmus_maximus ENSSMAG00000000529
cynoglossus_semilaevis ENSCSEG00000020970
hippocampus_comes ENSHCOG00000019338
periophthalmus_magnuspinnatus ENSPMGG00000010243
hucho_hucho ENSHHUG00000035185
hucho_hucho ENSHHUG00000031890
esox_lucius ENSELUG00000015358
gadus_morhua ENSGMOG00000009592
clupea_harengus ENSCHAG00000002348
denticeps_clupeoides ENSDCDG00000030100
astyanax_mexicanus ENSAMXG00005018162
astyanax_mexicanus ENSAMXG00000017597
pygocentrus_nattereri ENSPNAG00000019203
ictalurus_punctatus ENSIPUG00000005247
electrophorus_electricus ENSEEEG00000024505
danio_rerio ENSDARG00000021945
paramormyrops_kingsleyae ENSPKIG00000024110
scleropages_formosus ENSSFOG00015013273
lepisosteus_oculatus ENSLOCG00000007385
erpetoichthys_calabaricus ENSECRG00000011505
erpetoichthys_calabaricus ENSECRG00000019496
ornithorhynchus_anatinus ENSOANG00000028254
ornithorhynchus_anatinus ENSOANG00000012841
pan_paniscus ENSPPAG00000037807
pan_troglodytes ENSPTRG00000004887
homo_sapiens ENSG00000174243
gorilla_gorilla ENSGGOG00000015252
pongo_abelii ENSPPYG00000004468
nomascus_leucogenys ENSNLEG00000017864
rhinopithecus_roxellana ENSRROG00000028964
rhinopithecus_bieti ENSRBIG00000040362
piliocolobus_tephrosceles ENSPTEG00000010059
colobus_angolensis ENSCANG00000040182
theropithecus_gelada ENSTGEG00000000678
