callorhinchus_milii ENSCMIG00000011598
latimeria_chalumnae ENSLACG00000012307
pogona_vitticeps ENSPVIG00000018812
anolis_carolinensis ENSACAG00000001823
notechis_scutatus ENSNSUG00000020253
salvator_merianae ENSSMRG00000021553
sphenodon_punctatus ENSSPUG00000012998
apteryx_rowi ENSARWG00000013197
apteryx_haastii ENSAHAG00000000185
apteryx_owenii ENSAOWG00000006537
dromaius_novaehollandiae ENSDNVG00000003408
nothoprocta_perdicaria ENSNPEG00000008890
anser_brachyrhynchus ENSABRG00000007848
anas_platyrhynchos ENSAPLG00000012518
gallus_gallus ENSGALG00000008095
meleagris_gallopavo ENSMGAG00000010217
coturnix_japonica ENSCJPG00005021004
numida_meleagris ENSNMEG00000000704
manacus_vitellinus ENSMVIG00005008897
lepidothrix_coronata ENSLCOG00000006303
zonotrichia_albicollis ENSZALG00000009381
junco_hyemalis ENSJHYG00000014384
serinus_canaria ENSSCAG00000010811
taeniopygia_guttata ENSTGUG00000009704
lonchura_striata ENSLSDG00000018104
ficedula_albicollis ENSFALG00000010189
cyanistes_caeruleus ENSCCEG00000007103
parus_major ENSPMJG00000010072
melopsittacus_undulatus ENSMUNG00000001602
calidris_pygmaea ENSCPGG00000004391
calidris_pugnax ENSCPUG00000006762
crocodylus_porosus ENSCPRG00005001006
chrysemys_picta ENSCPBG00000025512
chrysemys_picta ENSCPBG00000025510
gopherus_agassizii ENSGAGG00000000366
chelonoidis_abingdonii ENSCABG00000007090
pelodiscus_sinensis ENSPSIG00000015679
vombatus_ursinus ENSVURG00010018250
phascolarctos_cinereus ENSPCIG00000013844
notamacropus_eugenii ENSMEUG00000000718
sarcophilus_harrisii ENSSHAG00000014701
monodelphis_domestica ENSMODG00000009242
prolemur_simus ENSPSMG00000002749
propithecus_coquereli ENSPCOG00000023767
microcebus_murinus ENSMICG00000012227
otolemur_garnettii ENSOGAG00000034448
pan_paniscus ENSPPAG00000038174
pan_troglodytes ENSPTRG00000007227
homo_sapiens ENSG00000137807
gorilla_gorilla ENSGGOG00000003971
pongo_abelii ENSPPYG00000006600
nomascus_leucogenys ENSNLEG00000013478
piliocolobus_tephrosceles ENSPTEG00000031488
colobus_angolensis ENSCANG00000035345
rhinopithecus_bieti ENSRBIG00000037098
rhinopithecus_roxellana ENSRROG00000012370
theropithecus_gelada ENSTGEG00000026105
papio_anubis ENSPANG00000016368
cercocebus_atys ENSCATG00000041003
macaca_mulatta ENSMMUG00000014887
macaca_fascicularis ENSMFAG00000041684
macaca_nemestrina ENSMNEG00000028825
mandrillus_leucophaeus ENSMLEG00000005210
chlorocebus_sabaeus ENSCSAG00000013602
cebus_capucinus ENSCCAG00000027660
saimiri_boliviensis ENSSBOG00000020139
callithrix_jacchus ENSCJAG00000007038
aotus_nancymaae ENSANAG00000035932
tupaia_belangeri ENSTBEG00000006596
dipodomys_ordii ENSDORG00000005148
castor_canadensis ENSCCNG00000017858
heterocephalus_glaber ENSHGLG00000009784
heterocephalus_glaber ENSHGLG00100014824
fukomys_damarensis ENSFDAG00000003520
chinchilla_lanigera ENSCLAG00000009415
octodon_degus ENSODEG00000015341
cavia_porcellus ENSCPOG00000004318
cavia_aperea ENSCAPG00000010704
nannospalax_galili ENSNGAG00000011309
nannospalax_galili ENSNGAG00000007794
mus_spretus MGP_SPRETEiJ_G0033457
mus_spicilegus ENSMSIG00000001335
mus_musculus ENSMUSG00000032254
mus_caroli MGP_CAROLIEiJ_G0032319
mus_pahari MGP_PahariEiJ_G0015185
rattus_norvegicus ENSRNOG00000014080
meriones_unguiculatus ENSMUGG00000018593
cricetulus_griseus ENSCGRG00000004628
cricetulus_griseus ENSCGRG00001024682
cricetulus_griseus ENSCGRG00015021398
mesocricetus_auratus ENSMAUG00000009848
microtus_ochrogaster ENSMOCG00000008773
peromyscus_maniculatus ENSPEMG00000018508
jaculus_jaculus ENSJJAG00000022614
urocitellus_parryii ENSUPAG00010002828
ictidomys_tridecemlineatus ENSSTOG00000022809
spermophilus_dauricus ENSSDAG00000017562
marmota_marmota ENSMMMG00000005347
oryctolagus_cuniculus ENSOCUG00000015068
ochotona_princeps ENSOPRG00000013769
