dipodomys_ordii ENSDORG00000028925
castor_canadensis ENSCCNG00000031176
mus_musculus ENSMUSG00000008307
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027926
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026931
mus_spicilegus ENSMSIG00000008178
mus_pahari MGP_PahariEiJ_G0021704
rattus_norvegicus ENSRNOG00000009135
meriones_unguiculatus ENSMUGG00000020910
peromyscus_maniculatus_bairdii ENSPEMG00000010299
microtus_ochrogaster ENSMOCG00000000079
cricetulus_griseus_crigri ENSCGRG00000007482
cricetulus_griseus_crigri-picr ENSCGRG00015024697
mesocricetus_auratus ENSMAUG00000002098
spermophilus_dauricus ENSSDAG00000017511
marmota_marmota_marmota ENSMMMG00000020594
ictidomys_tridecemlineatus ENSSTOG00000028513
urocitellus_parryii ENSUPAG00010016496
octodon_degus ENSODEG00000001236
chinchilla_lanigera ENSCLAG00000003974
fukomys_damarensis ENSFDAG00000016845
cavia_porcellus ENSCPOG00000034236
cavia_aperea ENSCAPG00000009034
microcebus_murinus ENSMICG00000041777
prolemur_simus ENSPSMG00000011026
ursus_maritimus ENSUMAG00000019067
ursus_americanus ENSUAMG00000000158
ailuropoda_melanoleuca ENSAMEG00000002030
canis_lupus_dingo ENSCAFG00020011881
neovison_vison ENSNVIG00000004336
mustela_putorius_furo ENSMPUG00000008345
panthera_pardus ENSPPRG00000000419
panthera_tigris_altaica ENSPTIG00000015217
felis_catus ENSFCAG00000024823
equus_caballus ENSECAG00000014439
equus_asinus_asinus ENSEASG00005020062
vulpes_vulpes ENSVVUG00000015357
myotis_lucifugus ENSMLUG00000028906
bos_mutus ENSBMUG00000013319
bos_taurus ENSBTAG00000003810
bison_bison_bison ENSBBBG00000018052
capra_hircus ENSCHIG00000021463
sus_scrofa ENSSSCG00000015316
dasypus_novemcinctus ENSDNOG00000034445
loxodonta_africana ENSLAFG00000030216
phascolarctos_cinereus ENSPCIG00000034934
monodelphis_domestica ENSMODG00000010750
