marmota_marmota_marmota ENSMMMG00000011672
spermophilus_dauricus ENSSDAG00000000890
mesocricetus_auratus ENSMAUG00000014500
peromyscus_maniculatus_bairdii ENSPEMG00000011487
mus_musculus ENSMUSG00000028251
mus_spicilegus ENSMSIG00000010751
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026794
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025845
mus_pahari MGP_PahariEiJ_G0023968
rattus_norvegicus ENSRNOG00000028185
meriones_unguiculatus ENSMUGG00000017396
meriones_unguiculatus ENSMUGG00000017399
capra_hircus ENSCHIG00000013830
capra_hircus ENSCHIG00000025798
capra_hircus ENSCHIG00000014011
ovis_aries ENSOARG00000011806
bos_taurus ENSBTAG00000024334
bos_mutus ENSBMUG00000016439
bison_bison_bison ENSBBBG00000021325
bos_taurus ENSBTAG00000038931
sus_scrofa ENSSSCG00000038757
monodelphis_domestica ENSMODG00000027875
gallus_gallus ENSGALG00000015468
notechis_scutatus ENSNSUG00000017883
latimeria_chalumnae ENSLACG00000010313
amphiprion_ocellaris ENSAOCG00000012688
amphiprion_percula ENSAPEG00000020706
acanthochromis_polyacanthus ENSAPOG00000018384
stegastes_partitus ENSSPAG00000020040
hippocampus_comes ENSHCOG00000014490
scophthalmus_maximus ENSSMAG00000008694
xiphophorus_couchianus ENSXCOG00000016979
cyprinodon_variegatus ENSCVAG00000021441
gasterosteus_aculeatus ENSGACG00000005024
mola_mola ENSMMOG00000017841
astyanax_mexicanus ENSAMXG00000035019
petromyzon_marinus ENSPMAG00000005492
ciona_intestinalis ENSCING00000000306
ciona_intestinalis ENSCING00000005840
drosophila_melanogaster FBgn0038080
