equus_caballus ENSECAG00000033613
equus_asinus_asinus ENSEASG00005000276
pteropus_vampyrus ENSPVAG00000006454
sus_scrofa ENSSSCG00000022341
vicugna_pacos ENSVPAG00000012357
bison_bison_bison ENSBBBG00000021413
bos_mutus ENSBMUG00000014385
ovis_aries ENSOARG00000020467
capra_hircus ENSCHIG00000025327
bos_taurus ENSBTAG00000013456
tursiops_truncatus ENSTTRG00000011537
canis_lupus_dingo ENSCAFG00020020153
canis_lupus_familiaris ENSCAFG00000030759
vulpes_vulpes ENSVVUG00000013612
mustela_putorius_furo ENSMPUG00000003478
neovison_vison ENSNVIG00000021009
ursus_maritimus ENSUMAG00000003631
ursus_americanus ENSUAMG00000011969
ailuropoda_melanoleuca ENSAMEG00000011541
panthera_tigris_altaica ENSPTIG00000014639
panthera_pardus ENSPPRG00000012415
felis_catus ENSFCAG00000035479
erinaceus_europaeus ENSEEUG00000006693
sorex_araneus ENSSARG00000010624
pan_troglodytes ENSPTRG00000022961
pan_paniscus ENSPPAG00000002222
homo_sapiens ENSG00000198398
gorilla_gorilla ENSGGOG00000015572
pongo_abelii ENSPPYG00000014404
nomascus_leucogenys ENSNLEG00000006744
macaca_fascicularis ENSMFAG00000001349
macaca_mulatta ENSMMUG00000043722
macaca_nemestrina ENSMNEG00000036710
papio_anubis ENSPANG00000005049
theropithecus_gelada ENSTGEG00000024427
mandrillus_leucophaeus ENSMLEG00000044176
cercocebus_atys ENSCATG00000030596
chlorocebus_sabaeus ENSCSAG00000008995
rhinopithecus_roxellana ENSRROG00000028907
rhinopithecus_bieti ENSRBIG00000013157
piliocolobus_tephrosceles ENSPTEG00000009426
colobus_angolensis_palliatus ENSCANG00000009613
saimiri_boliviensis_boliviensis ENSSBOG00000036118
cebus_capucinus ENSCCAG00000035837
callithrix_jacchus ENSCJAG00000046748
aotus_nancymaae ENSANAG00000000019
carlito_syrichta ENSTSYG00000000675
microcebus_murinus ENSMICG00000049457
prolemur_simus ENSPSMG00000019337
propithecus_coquereli ENSPCOG00000014987
tupaia_belangeri ENSTBEG00000001907
ochotona_princeps ENSOPRG00000001424
oryctolagus_cuniculus ENSOCUG00000029314
spermophilus_dauricus ENSSDAG00000002031
urocitellus_parryii ENSUPAG00010000237
ictidomys_tridecemlineatus ENSSTOG00000031218
marmota_marmota_marmota ENSMMMG00000010116
cavia_aperea ENSCAPG00000005533
octodon_degus ENSODEG00000000814
dipodomys_ordii ENSDORG00000024124
mus_spicilegus ENSMSIG00000007915
mus_musculus ENSMUSG00000091972
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021525
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020629
mus_pahari MGP_PahariEiJ_G0016334
rattus_norvegicus ENSRNOG00000048672
meriones_unguiculatus ENSMUGG00000013225
cricetulus_griseus_crigri-picr ENSCGRG00015024444
cricetulus_griseus_crigri ENSCGRG00000009175
cricetulus_griseus_chok1gshd ENSCGRG00001007696
mesocricetus_auratus ENSMAUG00000018884
microtus_ochrogaster ENSMOCG00000015831
peromyscus_maniculatus_bairdii ENSPEMG00000030277
nannospalax_galili ENSNGAG00000024223
jaculus_jaculus ENSJJAG00000019213
dasypus_novemcinctus ENSDNOG00000046365
choloepus_hoffmanni ENSCHOG00000002363
echinops_telfairi ENSETEG00000013773
phascolarctos_cinereus ENSPCIG00000025315
sarcophilus_harrisii ENSSHAG00000004380
monodelphis_domestica ENSMODG00000029126
ornithorhynchus_anatinus ENSOANG00000029109
chelonoidis_abingdonii ENSCABG00000005544
gopherus_agassizii ENSGAGG00000009480
pelodiscus_sinensis ENSPSIG00000005915
apteryx_haastii ENSAHAG00000006886
apteryx_owenii ENSAOWG00000000118
dromaius_novaehollandiae ENSDNVG00000006286
anser_brachyrhynchus ENSABRG00000008551
anas_platyrhynchos_platyrhynchos ENSAPLG00000013691
calidris_pugnax ENSCPUG00000017159
gallus_gallus ENSGALG00000026953
meleagris_gallopavo ENSMGAG00000007442
coturnix_japonica ENSCJPG00005013575
ficedula_albicollis ENSFALG00000007341
taeniopygia_guttata ENSTGUG00000009322
parus_major ENSPMJG00000019560
cyanistes_caeruleus ENSCCEG00000014534
manacus_vitellinus ENSMVIG00005003623
