petromyzon_marinus ENSPMAG00000004572
eptatretus_burgeri ENSEBUG00000011061
pogona_vitticeps ENSPVIG00000011984
anolis_carolinensis ENSACAG00000006875
notechis_scutatus ENSNSUG00000014174
salvator_merianae ENSSMRG00000023187
sphenodon_punctatus ENSSPUG00000008872
calidris_pugnax ENSCPUG00000002700
calidris_pygmaea ENSCPGG00000000346
melopsittacus_undulatus ENSMUNG00000010662
lepidothrix_coronata ENSLCOG00000013232
manacus_vitellinus ENSMVIG00005000761
junco_hyemalis ENSJHYG00000006655
zonotrichia_albicollis ENSZALG00000015455
serinus_canaria ENSSCAG00000001555
lonchura_striata ENSLSDG00000005951
taeniopygia_guttata ENSTGUG00000008444
ficedula_albicollis ENSFALG00000001087
parus_major ENSPMJG00000001223
cyanistes_caeruleus ENSCCEG00000013495
anser_brachyrhynchus ENSABRG00000017078
anas_platyrhynchos ENSAPLG00000011106
gallus_gallus ENSGALG00000002424
coturnix_japonica ENSCJPG00005020875
meleagris_gallopavo ENSMGAG00000004920
numida_meleagris ENSNMEG00000016222
apteryx_owenii ENSAOWG00000012760
apteryx_haastii ENSAHAG00000015625
apteryx_rowi ENSARWG00000007326
dromaius_novaehollandiae ENSDNVG00000009378
nothoprocta_perdicaria ENSNPEG00000003438
crocodylus_porosus ENSCPRG00005004620
pelodiscus_sinensis ENSPSIG00000005110
pelodiscus_sinensis ENSPSIG00000004729
gopherus_agassizii ENSGAGG00000006847
chelonoidis_abingdonii ENSCABG00000009692
chrysemys_picta ENSCPBG00000028060
dasypus_novemcinctus ENSDNOG00000012832
dasypus_novemcinctus ENSDNOG00000031337
choloepus_hoffmanni ENSCHOG00000000629
loxodonta_africana ENSLAFG00000008491
procavia_capensis ENSPCAG00000003894
echinops_telfairi ENSETEG00000010420
pteropus_vampyrus ENSPVAG00000008452
myotis_lucifugus ENSMLUG00000015374
ursus_maritimus ENSUMAG00000009115
ursus_americanus ENSUAMG00000002850
ailuropoda_melanoleuca ENSAMEG00000009566
mustela_putorius ENSMPUG00000013833
neovison_vison ENSNVIG00000011059
canis_lupus ENSCAFG00000004860
canis_lupus ENSCAFG00020000819
vulpes_vulpes ENSVVUG00000011515
panthera_pardus ENSPPRG00000004541
panthera_tigris ENSPTIG00000020601
felis_catus ENSFCAG00000005751
bos_taurus ENSBTAG00000011715
bos_mutus ENSBMUG00000009453
bison_bison ENSBBBG00000021117
capra_hircus ENSCHIG00000009742
ovis_aries ENSOARG00000010133
tursiops_truncatus ENSTTRG00000015879
sus_scrofa ENSSSCG00000023978
equus_caballus ENSECAG00000007563
equus_asinus ENSEASG00005000704
erinaceus_europaeus ENSEEUG00000009885
pan_paniscus ENSPPAG00000034423
pan_troglodytes ENSPTRG00000009651
gorilla_gorilla ENSGGOG00000009481
homo_sapiens ENSG00000108469
pongo_abelii ENSPPYG00000008632
nomascus_leucogenys ENSNLEG00000001129
colobus_angolensis ENSCANG00000038821
piliocolobus_tephrosceles ENSPTEG00000039732
rhinopithecus_bieti ENSRBIG00000008500
rhinopithecus_roxellana ENSRROG00000043301
macaca_fascicularis ENSMFAG00000044550
macaca_mulatta ENSMMUG00000021635
macaca_nemestrina ENSMNEG00000040154
cercocebus_atys ENSCATG00000029763
theropithecus_gelada ENSTGEG00000001487
papio_anubis ENSPANG00000020139
mandrillus_leucophaeus ENSMLEG00000033070
chlorocebus_sabaeus ENSCSAG00000004842
cebus_capucinus ENSCCAG00000031546
saimiri_boliviensis ENSSBOG00000033729
callithrix_jacchus ENSCJAG00000014183
aotus_nancymaae ENSANAG00000026587
carlito_syrichta ENSTSYG00000031875
