mus_spretus MGP_SPRETEiJ_G0020289
mus_spicilegus ENSMSIG00000014007
mus_musculus ENSMUSG00000075572
mus_caroli MGP_CAROLIEiJ_G0019397
mus_pahari MGP_PahariEiJ_G0030415
rattus_norvegicus ENSRNOG00000038759
cricetulus_griseus ENSCGRG00000014468
cricetulus_griseus ENSCGRG00001020939
cricetulus_griseus ENSCGRG00015010562
mesocricetus_auratus ENSMAUG00000019776
peromyscus_maniculatus ENSPEMG00000027292
microtus_ochrogaster ENSMOCG00000018670
nannospalax_galili ENSNGAG00000023298
dipodomys_ordii ENSDORG00000002260
oryctolagus_cuniculus ENSOCUG00000037755
pan_troglodytes ENSPTRG00000046956
pan_troglodytes ENSPTRG00000015911
homo_sapiens ENSG00000186146
pan_troglodytes ENSPTRG00000050172
homo_sapiens ENSG00000225805
pongo_abelii ENSPPYG00000019997
nomascus_leucogenys ENSNLEG00000015097
macaca_mulatta ENSMMUG00000017580
theropithecus_gelada ENSTGEG00000015009
macaca_fascicularis ENSMFAG00000032591
macaca_nemestrina ENSMNEG00000045154
cercocebus_atys ENSCATG00000038789
papio_anubis ENSPANG00000010309
mandrillus_leucophaeus ENSMLEG00000033855
chlorocebus_sabaeus ENSCSAG00000016959
rhinopithecus_bieti ENSRBIG00000027730
rhinopithecus_roxellana ENSRROG00000039957
colobus_angolensis ENSCANG00000029727
piliocolobus_tephrosceles ENSPTEG00000031942
cebus_capucinus ENSCCAG00000020751
saimiri_boliviensis ENSSBOG00000020991
aotus_nancymaae ENSANAG00000021673
prolemur_simus ENSPSMG00000012000
ursus_maritimus ENSUMAG00000021765
ursus_americanus ENSUAMG00000008072
ailuropoda_melanoleuca ENSAMEG00000006279
neovison_vison ENSNVIG00000021588
canis_lupus ENSCAFG00000024716
felis_catus ENSFCAG00000034552
panthera_tigris ENSPTIG00000000456
bos_indicus ENSBIXG00000022451
bos_indicus ENSBIXG00005001967
bos_mutus ENSBMUG00000002148
bison_bison ENSBBBG00000006625
myotis_lucifugus ENSMLUG00000022833
