aotus_nancymaae ENSANAG00000029503
cebus_capucinus ENSCCAG00000037684
saimiri_boliviensis_boliviensis ENSSBOG00000023935
macaca_mulatta ENSMMUG00000047297
macaca_fascicularis ENSMFAG00000030559
macaca_nemestrina ENSMNEG00000020748
mandrillus_leucophaeus ENSMLEG00000023941
cercocebus_atys ENSCATG00000043422
theropithecus_gelada ENSTGEG00000021858
rhinopithecus_roxellana ENSRROG00000018423
rhinopithecus_bieti ENSRBIG00000010716
piliocolobus_tephrosceles ENSPTEG00000020254
colobus_angolensis_palliatus ENSCANG00000015080
urocitellus_parryii ENSUPAG00010005306
castor_canadensis ENSCCNG00000002500
