vicugna_pacos ENSVPAG00000008725
myotis_lucifugus ENSMLUG00000007715
macaca_fascicularis ENSMFAG00000025292
gorilla_gorilla ENSGGOG00000043314
carlito_syrichta ENSTSYG00000014117
dipodomys_ordii ENSDORG00000015077
dipodomys_ordii ENSDORG00000025556
castor_canadensis ENSCCNG00000017783
marmota_marmota_marmota ENSMMMG00000014929
spermophilus_dauricus ENSSDAG00000007414
cavia_porcellus ENSCPOG00000032494
cavia_aperea ENSCAPG00000014329
octodon_degus ENSODEG00000019155
chinchilla_lanigera ENSCLAG00000001917
heterocephalus_glaber_male ENSHGLG00100007725
heterocephalus_glaber_female ENSHGLG00000018820
fukomys_damarensis ENSFDAG00000002952
peromyscus_maniculatus_bairdii ENSPEMG00000018182
microtus_ochrogaster ENSMOCG00000022997
cricetulus_griseus_crigri ENSCGRG00000017575
cricetulus_griseus_crigri ENSCGRG00000004878
cricetulus_griseus_crigri ENSCGRG00000010477
cricetulus_griseus_chok1gshd ENSCGRG00001008089
mesocricetus_auratus ENSMAUG00000005292
mus_spicilegus ENSMSIG00000002981
mus_spicilegus ENSMSIG00000015872
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018445
mus_musculus ENSMUSG00000001707
mus_pahari MGP_PahariEiJ_G0019513
rattus_norvegicus ENSRNOG00000016390
meriones_unguiculatus ENSMUGG00000010249
nannospalax_galili ENSNGAG00000005143
jaculus_jaculus ENSJJAG00000019293
oryctolagus_cuniculus ENSOCUG00000012587
loxodonta_africana ENSLAFG00000016842
procavia_capensis ENSPCAG00000001901
mustela_putorius_furo ENSMPUG00000000588
neovison_vison ENSNVIG00000010975
ursus_maritimus ENSUMAG00000018315
ursus_americanus ENSUAMG00000024873
ailuropoda_melanoleuca ENSAMEG00000017318
canis_lupus_familiaris ENSCAFG00000009583
canis_lupus_dingo ENSCAFG00020013190
vulpes_vulpes ENSVVUG00000004379
pteropus_vampyrus ENSPVAG00000012305
propithecus_coquereli ENSPCOG00000018593
microcebus_murinus ENSMICG00000012636
prolemur_simus ENSPSMG00000001700
otolemur_garnettii ENSOGAG00000000325
panthera_pardus ENSPPRG00000005821
panthera_tigris_altaica ENSPTIG00000003209
felis_catus ENSFCAG00000042307
panthera_pardus ENSPPRG00000012106
ovis_aries ENSOARG00000016972
capra_hircus ENSCHIG00000025443
bos_taurus ENSBTAG00000002534
bos_mutus ENSBMUG00000016411
bison_bison_bison ENSBBBG00000013432
tursiops_truncatus ENSTTRG00000007296
sus_scrofa ENSSSCG00000036257
equus_caballus ENSECAG00000011095
equus_asinus_asinus ENSEASG00005011918
ochotona_princeps ENSOPRG00000010868
choloepus_hoffmanni ENSCHOG00000002814
echinops_telfairi ENSETEG00000009786
homo_sapiens ENSG00000124802
pan_troglodytes ENSPTRG00000017709
pongo_abelii ENSPPYG00000016215
nomascus_leucogenys ENSNLEG00000035609
aotus_nancymaae ENSANAG00000036153
cebus_capucinus ENSCCAG00000031071
cebus_capucinus ENSCCAG00000020760
callithrix_jacchus ENSCJAG00000046721
colobus_angolensis_palliatus ENSCANG00000038136
piliocolobus_tephrosceles ENSPTEG00000011199
rhinopithecus_roxellana ENSRROG00000034778
rhinopithecus_bieti ENSRBIG00000033472
rhinopithecus_roxellana ENSRROG00000031614
macaca_fascicularis ENSMFAG00000000745
macaca_mulatta ENSMMUG00000021606
macaca_nemestrina ENSMNEG00000035493
mandrillus_leucophaeus ENSMLEG00000032511
cercocebus_atys ENSCATG00000038260
papio_anubis ENSPANG00000018352
chlorocebus_sabaeus ENSCSAG00000007429
pan_paniscus ENSPPAG00000035045
gorilla_gorilla ENSGGOG00000009591
ursus_americanus ENSUAMG00000025865
dasypus_novemcinctus ENSDNOG00000032038
octodon_degus ENSODEG00000005927
ictidomys_tridecemlineatus ENSSTOG00000026617
homo_sapiens ENSG00000265818
rhinopithecus_bieti ENSRBIG00000036284
erinaceus_europaeus ENSEEUG00000006156
notamacropus_eugenii ENSMEUG00000008960
phascolarctos_cinereus ENSPCIG00000029390
cricetulus_griseus_crigri-picr ENSCGRG00015024828
sarcophilus_harrisii ENSSHAG00000012122
monodelphis_domestica ENSMODG00000010030
ornithorhynchus_anatinus ENSOANG00000007180
apteryx_rowi ENSARWG00000018334
apteryx_haastii ENSAHAG00000016391
apteryx_owenii ENSAOWG00000005703
nothoprocta_perdicaria ENSNPEG00000011781
dromaius_novaehollandiae ENSDNVG00000000641
anser_brachyrhynchus ENSABRG00000005249
anas_platyrhynchos_platyrhynchos ENSAPLG00000027613
coturnix_japonica ENSCJPG00005017027
gallus_gallus ENSGALG00000012782
meleagris_gallopavo ENSMGAG00000003704
numida_meleagris ENSNMEG00000002212
calidris_pugnax ENSCPUG00000002083
calidris_pygmaea ENSCPGG00000009340
melopsittacus_undulatus ENSMUNG00000009294
lepidothrix_coronata ENSLCOG00000004060
manacus_vitellinus ENSMVIG00005014157
lonchura_striata_domestica ENSLSDG00000001778
taeniopygia_guttata ENSTGUG00000002373
serinus_canaria ENSSCAG00000001021
junco_hyemalis ENSJHYG00000016054
parus_major ENSPMJG00000018306
ficedula_albicollis ENSFALG00000013286
zonotrichia_albicollis ENSZALG00000000912
cyanistes_caeruleus ENSCCEG00000002057
crocodylus_porosus ENSCPRG00005001704
chelonoidis_abingdonii ENSCABG00000000558
gopherus_agassizii ENSGAGG00000017821
chrysemys_picta_bellii ENSCPBG00000008561
pelodiscus_sinensis ENSPSIG00000005220
anolis_carolinensis ENSACAG00000003104
pogona_vitticeps ENSPVIG00000016264
notechis_scutatus ENSNSUG00000005652
salvator_merianae ENSSMRG00000006672
sphenodon_punctatus ENSSPUG00000007416
xenopus_tropicalis ENSXETG00000020459
latimeria_chalumnae ENSLACG00000013369
tetraodon_nigroviridis ENSTNIG00000005696
takifugu_rubripes ENSTRUG00000006107
gasterosteus_aculeatus ENSGACG00000002324
poecilia_formosa ENSPFOG00000008748
poecilia_latipinna ENSPLAG00000006673
poecilia_mexicana ENSPMEG00000001479
poecilia_reticulata ENSPREG00000017376
gambusia_affinis ENSGAFG00000010703
xiphophorus_maculatus ENSXMAG00000005992
xiphophorus_couchianus ENSXCOG00000005327
fundulus_heteroclitus ENSFHEG00000004279
cyprinodon_variegatus ENSCVAG00000004299
kryptolebias_marmoratus ENSKMAG00000004839
oryzias_latipes ENSORLG00020003915
oryzias_latipes ENSORLG00000029353
oryzias_latipes_asm223469v1 ENSORLG00015021515
oryzias_melastigma ENSOMEG00000015854
monopterus_albus ENSMALG00000001200
mastacembelus_armatus ENSMAMG00000022006
anabas_testudineus ENSATEG00000016890
scophthalmus_maximus ENSSMAG00000019836
cynoglossus_semilaevis ENSCSEG00000009483
seriola_dumerili ENSSDUG00000005021
seriola_lalandi_dorsalis ENSSLDG00000011615
labrus_bergylta ENSLBEG00000025208
mola_mola ENSMMOG00000004946
amphiprion_percula ENSAPEG00000001923
amphiprion_ocellaris ENSAOCG00000016544
acanthochromis_polyacanthus ENSAPOG00000014728
stegastes_partitus ENSSPAG00000008364
maylandia_zebra ENSMZEG00005017315
astatotilapia_calliptera ENSACLG00000020036
pundamilia_nyererei ENSPNYG00000021575
haplochromis_burtoni ENSHBUG00000023502
neolamprologus_brichardi ENSNBRG00000005668
oreochromis_niloticus ENSONIG00000014547
amphilophus_citrinellus ENSACIG00000003862
hippocampus_comes ENSHCOG00000005231
periophthalmus_magnuspinnatus ENSPMGG00000008357
gadus_morhua ENSGMOG00000000648
esox_lucius ENSELUG00000020384
pygocentrus_nattereri ENSPNAG00000005197
astyanax_mexicanus ENSAMXG00000006015
ictalurus_punctatus ENSIPUG00000018171
danio_rerio ENSDARG00000071774
scleropages_formosus ENSSFOG00015012081
lepisosteus_oculatus ENSLOCG00000013217
eptatretus_burgeri ENSEBUG00000014034
