seriola_lalandi_dorsalis ENSSLDG00000005282
seriola_dumerili ENSSDUG00000011300
lepisosteus_oculatus ENSLOCG00000003294
pogona_vitticeps ENSPVIG00000024552
anolis_carolinensis ENSACAG00000000986
notechis_scutatus ENSNSUG00000009865
salvator_merianae ENSSMRG00000014372
sphenodon_punctatus ENSSPUG00000016208
calidris_pygmaea ENSCPGG00000007479
calidris_pugnax ENSCPUG00000015890
melopsittacus_undulatus ENSMUNG00000002109
manacus_vitellinus ENSMVIG00005013503
lepidothrix_coronata ENSLCOG00000014576
junco_hyemalis ENSJHYG00000017844
zonotrichia_albicollis ENSZALG00000006573
serinus_canaria ENSSCAG00000011011
taeniopygia_guttata ENSTGUG00000011525
taeniopygia_guttata ENSTGUG00000014175
lonchura_striata_domestica ENSLSDG00000006198
ficedula_albicollis ENSFALG00000013594
cyanistes_caeruleus ENSCCEG00000008797
parus_major ENSPMJG00000019915
anser_brachyrhynchus ENSABRG00000000883
anas_platyrhynchos_platyrhynchos ENSAPLG00000008608
gallus_gallus ENSGALG00000012106
coturnix_japonica ENSCJPG00005021029
meleagris_gallopavo ENSMGAG00000012308
numida_meleagris ENSNMEG00000023164
apteryx_owenii ENSAOWG00000013723
apteryx_rowi ENSARWG00000002772
apteryx_haastii ENSAHAG00000002236
dromaius_novaehollandiae ENSDNVG00000016442
nothoprocta_perdicaria ENSNPEG00000013574
crocodylus_porosus ENSCPRG00005003354
gopherus_agassizii ENSGAGG00000025063
chelonoidis_abingdonii ENSCABG00000007565
chrysemys_picta_bellii ENSCPBG00000013933
pelodiscus_sinensis ENSPSIG00000003330
ornithorhynchus_anatinus ENSOANG00000028505
ornithorhynchus_anatinus ENSOANG00000031166
phascolarctos_cinereus ENSPCIG00000031644
notamacropus_eugenii ENSMEUG00000010509
sarcophilus_harrisii ENSSHAG00000016070
monodelphis_domestica ENSMODG00000000380
erinaceus_europaeus ENSEEUG00000000385
sorex_araneus ENSSARG00000013183
myotis_lucifugus ENSMLUG00000004038
equus_asinus_asinus ENSEASG00005003586
equus_caballus ENSECAG00000018677
sus_scrofa ENSSSCG00000029536
vicugna_pacos ENSVPAG00000011700
ovis_aries ENSOARG00000012560
capra_hircus ENSCHIG00000023110
bison_bison_bison ENSBBBG00000014923
bos_taurus ENSBTAG00000013619
tursiops_truncatus ENSTTRG00000007324
ursus_americanus ENSUAMG00000006064
ursus_maritimus ENSUMAG00000013215
ailuropoda_melanoleuca ENSAMEG00000008518
neovison_vison ENSNVIG00000002825
mustela_putorius_furo ENSMPUG00000000956
canis_lupus_dingo ENSCAFG00020014048
canis_lupus_familiaris ENSCAFG00000004889
vulpes_vulpes ENSVVUG00000018344
panthera_pardus ENSPPRG00000003047
panthera_tigris_altaica ENSPTIG00000017489
felis_catus ENSFCAG00000004432
cercocebus_atys ENSCATG00000035610
mandrillus_leucophaeus ENSMLEG00000029227
theropithecus_gelada ENSTGEG00000002023
theropithecus_gelada ENSTGEG00000003017
papio_anubis ENSPANG00000012987
macaca_mulatta ENSMMUG00000011128
macaca_fascicularis ENSMFAG00000003037
macaca_nemestrina ENSMNEG00000044503
chlorocebus_sabaeus ENSCSAG00000016598
rhinopithecus_bieti ENSRBIG00000034380
rhinopithecus_roxellana ENSRROG00000043131
colobus_angolensis_palliatus ENSCANG00000032585
piliocolobus_tephrosceles ENSPTEG00000026103
pan_paniscus ENSPPAG00000011217
pan_troglodytes ENSPTRG00000012403
homo_sapiens ENSG00000080293
gorilla_gorilla ENSGGOG00000010385
pongo_abelii ENSPPYG00000012786
nomascus_leucogenys ENSNLEG00000010307
cebus_capucinus ENSCCAG00000022567
saimiri_boliviensis_boliviensis ENSSBOG00000006054
callithrix_jacchus ENSCJAG00000021438
aotus_nancymaae ENSANAG00000028043
carlito_syrichta ENSTSYG00000001123
propithecus_coquereli ENSPCOG00000014550
prolemur_simus ENSPSMG00000019084
microcebus_murinus ENSMICG00000000297
tupaia_belangeri ENSTBEG00000002193
chinchilla_lanigera ENSCLAG00000003965
octodon_degus ENSODEG00000006551
cavia_porcellus ENSCPOG00000015317
cavia_aperea ENSCAPG00000017832
heterocephalus_glaber_female ENSHGLG00000014846
heterocephalus_glaber_male ENSHGLG00100004419
fukomys_damarensis ENSFDAG00000014596
ictidomys_tridecemlineatus ENSSTOG00000006773
spermophilus_dauricus ENSSDAG00000024964
marmota_marmota_marmota ENSMMMG00000022635
castor_canadensis ENSCCNG00000013966
dipodomys_ordii ENSDORG00000003688
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015325
mus_musculus ENSMUSG00000026387
mus_spicilegus ENSMSIG00000008107
rattus_norvegicus ENSRNOG00000049766
mus_pahari MGP_PahariEiJ_G0027754
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014518
meriones_unguiculatus ENSMUGG00000023430
cricetulus_griseus_crigri ENSCGRG00000004602
cricetulus_griseus_chok1gshd ENSCGRG00001005944
cricetulus_griseus_crigri-picr ENSCGRG00015008811
mesocricetus_auratus ENSMAUG00000018939
microtus_ochrogaster ENSMOCG00000002265
peromyscus_maniculatus_bairdii ENSPEMG00000012122
nannospalax_galili ENSNGAG00000003594
jaculus_jaculus ENSJJAG00000012095
oryctolagus_cuniculus ENSOCUG00000007710
ochotona_princeps ENSOPRG00000004284
pteropus_vampyrus ENSPVAG00000014351
otolemur_garnettii ENSOGAG00000000593
echinops_telfairi ENSETEG00000006495
echinops_telfairi ENSETEG00000010927
procavia_capensis ENSPCAG00000006714
loxodonta_africana ENSLAFG00000006289
choloepus_hoffmanni ENSCHOG00000001419
dasypus_novemcinctus ENSDNOG00000049787
petromyzon_marinus ENSPMAG00000000153
