ailuropoda_melanoleuca ENSAMEG00000010071
ursus_maritimus ENSUMAG00000013124
mustela_putorius ENSMPUG00000015833
neovison_vison ENSNVIG00000023144
canis_lupus ENSCAFG00020020923
canis_lupus ENSCAFG00000028865
vulpes_vulpes ENSVVUG00000026947
panthera_tigris ENSPTIG00000011435
panthera_pardus ENSPPRG00000002624
pteropus_vampyrus ENSPVAG00000005835
myotis_lucifugus ENSMLUG00000006243
tursiops_truncatus ENSTTRG00000001862
sus_scrofa ENSSSCG00000003547
ovis_aries ENSOARG00000006464
capra_hircus ENSCHIG00000019328
bison_bison ENSBBBG00000014506
bos_taurus ENSBTAG00000012604
bos_mutus ENSBMUG00000022120
vicugna_pacos ENSVPAG00000007697
equus_caballus ENSECAG00000042902
erinaceus_europaeus ENSEEUG00000015922
sorex_araneus ENSSARG00000009691
gorilla_gorilla ENSGGOG00000012056
pan_paniscus ENSPPAG00000042429
homo_sapiens ENSG00000184454
pongo_abelii ENSPPYG00000001717
nomascus_leucogenys ENSNLEG00000029897
rhinopithecus_bieti ENSRBIG00000038049
rhinopithecus_roxellana ENSRROG00000045275
piliocolobus_tephrosceles ENSPTEG00000015099
macaca_nemestrina ENSMNEG00000020288
macaca_fascicularis ENSMFAG00000037892
macaca_mulatta ENSMMUG00000057675
mandrillus_leucophaeus ENSMLEG00000033937
theropithecus_gelada ENSTGEG00000005238
papio_anubis ENSPANG00000033614
cercocebus_atys ENSCATG00000017154
chlorocebus_sabaeus ENSCSAG00000000944
saimiri_boliviensis ENSSBOG00000031499
cebus_capucinus ENSCCAG00000018432
callithrix_jacchus ENSCJAG00000042100
aotus_nancymaae ENSANAG00000026874
colobus_angolensis ENSCANG00000020999
pan_troglodytes ENSPTRG00000000348
oryctolagus_cuniculus ENSOCUG00000005252
carlito_syrichta ENSTSYG00000011530
cavia_aperea ENSCAPG00000005575
cavia_porcellus ENSCPOG00000037048
chinchilla_lanigera ENSCLAG00000009955
octodon_degus ENSODEG00000014196
heterocephalus_glaber ENSHGLG00000011670
fukomys_damarensis ENSFDAG00000008480
urocitellus_parryii ENSUPAG00010021159
ictidomys_tridecemlineatus ENSSTOG00000014647
marmota_marmota ENSMMMG00000018395
spermophilus_dauricus ENSSDAG00000020594
mus_musculus ENSMUSG00000043924
mus_spretus MGP_SPRETEiJ_G0027617
mus_caroli MGP_CAROLIEiJ_G0026637
mus_pahari MGP_PahariEiJ_G0028970
rattus_norvegicus ENSRNOG00000048139
meriones_unguiculatus ENSMUGG00000020926
cricetulus_griseus ENSCGRG00001023666
cricetulus_griseus ENSCGRG00015019018
cricetulus_griseus ENSCGRG00000017383
mesocricetus_auratus ENSMAUG00000014750
microtus_ochrogaster ENSMOCG00000015788
peromyscus_maniculatus ENSPEMG00000018334
nannospalax_galili ENSNGAG00000017500
castor_canadensis ENSCCNG00000022682
tupaia_belangeri ENSTBEG00000000111
propithecus_coquereli ENSPCOG00000015619
prolemur_simus ENSPSMG00000012955
otolemur_garnettii ENSOGAG00000008361
loxodonta_africana ENSLAFG00000014893
echinops_telfairi ENSETEG00000006813
dasypus_novemcinctus ENSDNOG00000000914
choloepus_hoffmanni ENSCHOG00000006995
ochotona_princeps ENSOPRG00000004031
vombatus_ursinus ENSVURG00010023095
notamacropus_eugenii ENSMEUG00000010462
phascolarctos_cinereus ENSPCIG00000014248
monodelphis_domestica ENSMODG00000051523
ornithorhynchus_anatinus ENSOANG00000002203
pogona_vitticeps ENSPVIG00000020129
salvator_merianae ENSSMRG00000001348
sphenodon_punctatus ENSSPUG00000015925
apteryx_haastii ENSAHAG00000010622
apteryx_owenii ENSAOWG00000010948
apteryx_rowi ENSARWG00000011034
dromaius_novaehollandiae ENSDNVG00000008474
nothoprocta_perdicaria ENSNPEG00000010482
anas_platyrhynchos ENSAPLG00000002541
anser_brachyrhynchus ENSABRG00000012194
meleagris_gallopavo ENSMGAG00000002100
gallus_gallus ENSGALG00000030900
numida_meleagris ENSNMEG00000005951
parus_major ENSPMJG00000000242
cyanistes_caeruleus ENSCCEG00000016795
taeniopygia_guttata ENSTGUG00000001144
lonchura_striata ENSLSDG00000000486
serinus_canaria ENSSCAG00000006928
zonotrichia_albicollis ENSZALG00000016027
junco_hyemalis ENSJHYG00000000588
ficedula_albicollis ENSFALG00000000480
lepidothrix_coronata ENSLCOG00000009617
manacus_vitellinus ENSMVIG00005008543
melopsittacus_undulatus ENSMUNG00000009074
calidris_pygmaea ENSCPGG00000009926
calidris_pugnax ENSCPUG00000016263
crocodylus_porosus ENSCPRG00005016669
chrysemys_picta ENSCPBG00000025086
chelonoidis_abingdonii ENSCABG00000001900
pelodiscus_sinensis ENSPSIG00000013286
