macaca_fascicularis ENSMFAG00000015538
macaca_nemestrina ENSMNEG00000039198
theropithecus_gelada ENSTGEG00000017003
chlorocebus_sabaeus ENSCSAG00000000376
rhinopithecus_roxellana ENSRROG00000035284
rhinopithecus_bieti ENSRBIG00000000433
colobus_angolensis_palliatus ENSCANG00000030996
pan_paniscus ENSPPAG00000015747
pan_troglodytes ENSPTRG00000052334
gorilla_gorilla ENSGGOG00000040876
nomascus_leucogenys ENSNLEG00000018294
aotus_nancymaae ENSANAG00000034033
saimiri_boliviensis_boliviensis ENSSBOG00000020963
