mastacembelus_armatus ENSMAMG00000018496
monopterus_albus ENSMALG00000022367
anabas_testudineus ENSATEG00000012324
labrus_bergylta ENSLBEG00000024840
scophthalmus_maximus ENSSMAG00000010324
cynoglossus_semilaevis ENSCSEG00000014955
seriola_dumerili ENSSDUG00000008174
seriola_lalandi_dorsalis ENSSLDG00000015316
fundulus_heteroclitus ENSFHEG00000002101
cyprinodon_variegatus ENSCVAG00000015991
xiphophorus_couchianus ENSXCOG00000000967
xiphophorus_maculatus ENSXMAG00000028291
gambusia_affinis ENSGAFG00000013776
poecilia_formosa ENSPFOG00000015442
poecilia_mexicana ENSPMEG00000018519
poecilia_latipinna ENSPLAG00000012420
poecilia_reticulata ENSPREG00000021821
kryptolebias_marmoratus ENSKMAG00000009385
oryzias_latipes ENSORLG00020009760
oryzias_latipes ENSORLG00000027629
oryzias_melastigma ENSOMEG00000012338
acanthochromis_polyacanthus ENSAPOG00000020748
amphiprion_ocellaris ENSAOCG00000009540
astatotilapia_calliptera ENSACLG00000027752
haplochromis_burtoni ENSHBUG00000009153
pundamilia_nyererei ENSPNYG00000003166
maylandia_zebra ENSMZEG00005003583
oreochromis_niloticus ENSONIG00000011272
amphilophus_citrinellus ENSACIG00000002004
gasterosteus_aculeatus ENSGACG00000015941
hippocampus_comes ENSHCOG00000001693
amphiprion_percula ENSAPEG00000022838
amphiprion_percula ENSAPEG00000022907
oryzias_latipes_asm223469v1 ENSORLG00015016732
neolamprologus_brichardi ENSNBRG00000008126
takifugu_rubripes ENSTRUG00000018423
tetraodon_nigroviridis ENSTNIG00000007497
mola_mola ENSMMOG00000004624
gadus_morhua ENSGMOG00000000408
esox_lucius ENSELUG00000023339
pygocentrus_nattereri ENSPNAG00000017780
astyanax_mexicanus ENSAMXG00000008513
ictalurus_punctatus ENSIPUG00000024128
danio_rerio ENSDARG00000022085
scleropages_formosus ENSSFOG00015010404
scleropages_formosus ENSSFOG00015017175
lepisosteus_oculatus ENSLOCG00000003958
lonchura_striata_domestica ENSLSDG00000004130
serinus_canaria ENSSCAG00000000172
junco_hyemalis ENSJHYG00000003720
zonotrichia_albicollis ENSZALG00000012157
parus_major ENSPMJG00000000458
cyanistes_caeruleus ENSCCEG00000010502
ficedula_albicollis ENSFALG00000001915
calidris_pygmaea ENSCPGG00000012475
calidris_pugnax ENSCPUG00000016079
meleagris_gallopavo ENSMGAG00000016757
anas_platyrhynchos_platyrhynchos ENSAPLG00000014990
melopsittacus_undulatus ENSMUNG00000009724
lepidothrix_coronata ENSLCOG00000014247
manacus_vitellinus ENSMVIG00005010346
dromaius_novaehollandiae ENSDNVG00000011207
gallus_gallus ENSGALG00000041238
coturnix_japonica ENSCJPG00005010849
numida_meleagris ENSNMEG00000012675
crocodylus_porosus ENSCPRG00005010514
chrysemys_picta_bellii ENSCPBG00000009911
gopherus_agassizii ENSGAGG00000018334
pelodiscus_sinensis ENSPSIG00000014287
salvator_merianae ENSSMRG00000011514
notechis_scutatus ENSNSUG00000002994
ornithorhynchus_anatinus ENSOANG00000003509
xenopus_tropicalis ENSXETG00000031672
