pan_troglodytes ENSPTRG00000041808
pan_paniscus ENSPPAG00000033301
homo_sapiens ENSG00000222047
gorilla_gorilla ENSGGOG00000043479
pongo_abelii ENSPPYG00000002325
macaca_fascicularis ENSMFAG00000001479
macaca_mulatta ENSMMUG00000009910
macaca_nemestrina ENSMNEG00000042120
chlorocebus_sabaeus ENSCSAG00000008976
papio_anubis ENSPANG00000022456
cercocebus_atys ENSCATG00000043009
rhinopithecus_bieti ENSRBIG00000044550
rhinopithecus_roxellana ENSRROG00000039275
colobus_angolensis_palliatus ENSCANG00000040675
callithrix_jacchus ENSCJAG00000046716
cebus_capucinus ENSCCAG00000025320
saimiri_boliviensis_boliviensis ENSSBOG00000001182
aotus_nancymaae ENSANAG00000032195
tupaia_belangeri ENSTBEG00000013289
erinaceus_europaeus ENSEEUG00000015932
sorex_araneus ENSSARG00000007337
microcebus_murinus ENSMICG00000000731
propithecus_coquereli ENSPCOG00000012969
echinops_telfairi ENSETEG00000004862
