amphiprion_percula ENSAPEG00000023389
amphiprion_ocellaris ENSAOCG00000014029
acanthochromis_polyacanthus ENSAPOG00000024102
stegastes_partitus ENSSPAG00000018179
kryptolebias_marmoratus ENSKMAG00000006034
fundulus_heteroclitus ENSFHEG00000008383
oryzias_latipes ENSORLG00020017683
oryzias_latipes ENSORLG00000027785
oryzias_latipes_asm223469v1 ENSORLG00015007950
oryzias_melastigma ENSOMEG00000004694
astatotilapia_calliptera ENSACLG00000009160
haplochromis_burtoni ENSHBUG00000019675
pundamilia_nyererei ENSPNYG00000014023
maylandia_zebra ENSMZEG00005020915
amphilophus_citrinellus ENSACIG00000006235
mola_mola ENSMMOG00000021005
scophthalmus_maximus ENSSMAG00000017612
monopterus_albus ENSMALG00000002425
labrus_bergylta ENSLBEG00000008724
cynoglossus_semilaevis ENSCSEG00000008121
anabas_testudineus ENSATEG00000015790
seriola_lalandi_dorsalis ENSSLDG00000009404
seriola_dumerili ENSSDUG00000011516
mastacembelus_armatus ENSMAMG00000019362
takifugu_rubripes ENSTRUG00000019956
cricetulus_griseus_crigri-picr ENSCGRG00015011915
mesocricetus_auratus ENSMAUG00000003794
microtus_ochrogaster ENSMOCG00000001377
peromyscus_maniculatus_bairdii ENSPEMG00000003927
meriones_unguiculatus ENSMUGG00000004907
mus_musculus ENSMUSG00000109946
castor_canadensis ENSCCNG00000014729
urocitellus_parryii ENSUPAG00010008655
spermophilus_dauricus ENSSDAG00000009757
marmota_marmota_marmota ENSMMMG00000012966
neovison_vison ENSNVIG00000018737
