ficedula_albicollis ENSFALG00000014784
numida_meleagris ENSNMEG00000017689
parus_major ENSPMJG00000015688
cyanistes_caeruleus ENSCCEG00000013747
lonchura_striata_domestica ENSLSDG00000015657
lonchura_striata_domestica ENSLSDG00000001027
serinus_canaria ENSSCAG00000011134
cyanistes_caeruleus ENSCCEG00000015906
zonotrichia_albicollis ENSZALG00000013037
apteryx_haastii ENSAHAG00000010619
apteryx_haastii ENSAHAG00000008271
lonchura_striata_domestica ENSLSDG00000007132
junco_hyemalis ENSJHYG00000010757
cyanistes_caeruleus ENSCCEG00000007569
nothoprocta_perdicaria ENSNPEG00000004862
junco_hyemalis ENSJHYG00000007101
zonotrichia_albicollis ENSZALG00000008191
serinus_canaria ENSSCAG00000008724
apteryx_haastii ENSAHAG00000000667
apteryx_haastii ENSAHAG00000010379
apteryx_haastii ENSAHAG00000017645
melopsittacus_undulatus ENSMUNG00000011265
calidris_pugnax ENSCPUG00000017818
apteryx_haastii ENSAHAG00000003653
chrysemys_picta_bellii ENSCPBG00000001748
chrysemys_picta_bellii ENSCPBG00000004586
chrysemys_picta_bellii ENSCPBG00000018649
