petromyzon_marinus ENSPMAG00000004115
eptatretus_burgeri ENSEBUG00000016115
astatotilapia_calliptera ENSACLG00000008568
danio_rerio ENSDARG00000016212
notechis_scutatus ENSNSUG00000019235
anolis_carolinensis ENSACAG00000027354
taeniopygia_guttata ENSTGUG00000016427
calidris_pugnax ENSCPUG00000011253
nothoprocta_perdicaria ENSNPEG00000001098
castor_canadensis ENSCCNG00000025788
dipodomys_ordii ENSDORG00000028083
nannospalax_galili ENSNGAG00000003978
rattus_norvegicus ENSRNOG00000047244
heterocephalus_glaber ENSHGLG00100010989
fukomys_damarensis ENSFDAG00000009155
chinchilla_lanigera ENSCLAG00000005147
octodon_degus ENSODEG00000016268
otolemur_garnettii ENSOGAG00000034525
panthera_tigris ENSPTIG00000014798
felis_catus ENSFCAG00000047842
equus_caballus ENSECAG00000041490
ornithorhynchus_anatinus ENSOANG00000014457
ciona_intestinalis ENSCING00000024738
