numida_meleagris ENSNMEG00000017143
coturnix_japonica ENSCJPG00005017460
calidris_pugnax ENSCPUG00000007173
taeniopygia_guttata ENSTGUG00000013419
lonchura_striata_domestica ENSLSDG00000005862
cyanistes_caeruleus ENSCCEG00000015285
manacus_vitellinus ENSMVIG00005011462
lepidothrix_coronata ENSLCOG00000010804
apteryx_rowi ENSARWG00000015630
apteryx_haastii ENSAHAG00000002447
nothoprocta_perdicaria ENSNPEG00000002530
chelonoidis_abingdonii ENSCABG00000002562
dipodomys_ordii ENSDORG00000025687
mesocricetus_auratus ENSMAUG00000018487
octodon_degus ENSODEG00000005245
propithecus_coquereli ENSPCOG00000016512
