mandrillus_leucophaeus ENSMLEG00000044288
cercocebus_atys ENSCATG00000034704
theropithecus_gelada ENSTGEG00000018450
macaca_mulatta ENSMMUG00000041310
macaca_fascicularis ENSMFAG00000041319
macaca_nemestrina ENSMNEG00000043963
papio_anubis ENSPANG00000030414
rhinopithecus_roxellana ENSRROG00000031227
rhinopithecus_bieti ENSRBIG00000026996
colobus_angolensis_palliatus ENSCANG00000041081
piliocolobus_tephrosceles ENSPTEG00000027767
saimiri_boliviensis_boliviensis ENSSBOG00000023187
bison_bison_bison ENSBBBG00000005808
bos_mutus ENSBMUG00000007327
