tetraodon_nigroviridis ENSTNIG00000010326
poecilia_reticulata ENSPREG00000019560
lepisosteus_oculatus ENSLOCG00000003015
ficedula_albicollis ENSFALG00000005930
taeniopygia_guttata ENSTGUG00000013416
meleagris_gallopavo ENSMGAG00000014327
anolis_carolinensis ENSACAG00000010078
otolemur_garnettii ENSOGAG00000011774
ochotona_princeps ENSOPRG00000008963
tupaia_belangeri ENSTBEG00000007433
ailuropoda_melanoleuca ENSAMEG00000018066
mustela_putorius_furo ENSMPUG00000000294
erinaceus_europaeus ENSEEUG00000011146
tursiops_truncatus ENSTTRG00000005828
bos_taurus ENSBTAG00000050116
vicugna_pacos ENSVPAG00000011933
pteropus_vampyrus ENSPVAG00000015971
choloepus_hoffmanni ENSCHOG00000006266
echinops_telfairi ENSETEG00000020370
notamacropus_eugenii ENSMEUG00000003672
sarcophilus_harrisii ENSSHAG00000007424
ornithorhynchus_anatinus ENSOANG00000005790
xenopus_tropicalis ENSXETG00000017777
