castor_canadensis ENSCCNG00000017688
dipodomys_ordii ENSDORG00000027781
ictidomys_tridecemlineatus ENSSTOG00000008981
urocitellus_parryii ENSUPAG00010015977
spermophilus_dauricus ENSSDAG00000003685
mus_spretus MGP_SPRETEiJ_G0033897
mus_spicilegus ENSMSIG00000025605
mus_musculus ENSMUSG00000032494
rattus_norvegicus ENSRNOG00000037171
meriones_unguiculatus ENSMUGG00000010291
cricetulus_griseus ENSCGRG00000002726
cricetulus_griseus ENSCGRG00001010294
cricetulus_griseus ENSCGRG00015018193
mesocricetus_auratus ENSMAUG00000011746
peromyscus_maniculatus ENSPEMG00000012629
microtus_ochrogaster ENSMOCG00000012926
mus_pahari MGP_PahariEiJ_G0015616
nannospalax_galili ENSNGAG00000024005
jaculus_jaculus ENSJJAG00000023493
cavia_porcellus ENSCPOG00000000231
cavia_aperea ENSCAPG00000013609
chinchilla_lanigera ENSCLAG00000015624
octodon_degus ENSODEG00000010965
heterocephalus_glaber ENSHGLG00100011530
heterocephalus_glaber ENSHGLG00000017151
fukomys_damarensis ENSFDAG00000005114
rhinopithecus_bieti ENSRBIG00000018982
rhinopithecus_roxellana ENSRROG00000032100
colobus_angolensis ENSCANG00000006754
macaca_fascicularis ENSMFAG00000044781
macaca_nemestrina ENSMNEG00000036349
theropithecus_gelada ENSTGEG00000001322
papio_anubis ENSPANG00000031506
cercocebus_atys ENSCATG00000025309
pan_paniscus ENSPPAG00000031297
pan_troglodytes ENSPTRG00000052864
gorilla_gorilla ENSGGOG00000038113
pan_paniscus ENSPPAG00000011740
pongo_abelii ENSPPYG00000013244
nomascus_leucogenys ENSNLEG00000027726
colobus_angolensis ENSCANG00000038051
piliocolobus_tephrosceles ENSPTEG00000039755
saimiri_boliviensis ENSSBOG00000024236
callithrix_jacchus ENSCJAG00000068450
pan_troglodytes ENSPTRG00000014854
pan_paniscus ENSPPAG00000030716
gorilla_gorilla ENSGGOG00000003453
homo_sapiens ENSG00000241186
pan_paniscus ENSPPAG00000024490
pan_troglodytes ENSPTRG00000047296
gorilla_gorilla ENSGGOG00000009229
pongo_abelii ENSPPYG00000013931
nomascus_leucogenys ENSNLEG00000006143
macaca_fascicularis ENSMFAG00000002520
macaca_mulatta ENSMMUG00000062682
macaca_nemestrina ENSMNEG00000043098
cercocebus_atys ENSCATG00000032934
mandrillus_leucophaeus ENSMLEG00000043158
papio_anubis ENSPANG00000005381
theropithecus_gelada ENSTGEG00000011564
chlorocebus_sabaeus ENSCSAG00000016223
colobus_angolensis ENSCANG00000040268
piliocolobus_tephrosceles ENSPTEG00000008683
rhinopithecus_roxellana ENSRROG00000041384
rhinopithecus_bieti ENSRBIG00000032534
cebus_capucinus ENSCCAG00000026280
aotus_nancymaae ENSANAG00000021450
callithrix_jacchus ENSCJAG00000059066
theropithecus_gelada ENSTGEG00000010591
piliocolobus_tephrosceles ENSPTEG00000023329
carlito_syrichta ENSTSYG00000013609
propithecus_coquereli ENSPCOG00000028007
microcebus_murinus ENSMICG00000016492
prolemur_simus ENSPSMG00000021232
otolemur_garnettii ENSOGAG00000017039
choloepus_hoffmanni ENSCHOG00000011052
echinops_telfairi ENSETEG00000012649
pteropus_vampyrus ENSPVAG00000000972
myotis_lucifugus ENSMLUG00000012566
ursus_maritimus ENSUMAG00000004603
ursus_americanus ENSUAMG00000014005
ailuropoda_melanoleuca ENSAMEG00000012491
mustela_putorius ENSMPUG00000015167
neovison_vison ENSNVIG00000021532
vulpes_vulpes ENSVVUG00000005060
canis_lupus ENSCAFG00000049371
vulpes_vulpes ENSVVUG00000006183
vulpes_vulpes ENSVVUG00000018108
canis_lupus ENSCAFG00020012958
canis_lupus ENSCAFG00000042781
ailuropoda_melanoleuca ENSAMEG00000009224
panthera_tigris ENSPTIG00000014569
panthera_pardus ENSPPRG00000024672
felis_catus ENSFCAG00000014508
capra_hircus ENSCHIG00000017232
capra_hircus ENSCHIG00000012257
capra_hircus ENSCHIG00000012754
capra_hircus ENSCHIG00000018851
ovis_aries ENSOARG00000008117
bos_indicus ENSBIXG00005022325
bos_indicus ENSBIXG00000009731
bos_taurus ENSBTAG00000021119
bos_mutus ENSBMUG00000002647
bison_bison ENSBBBG00000001038
bos_indicus ENSBIXG00000009455
bos_indicus ENSBIXG00005025651
bos_taurus ENSBTAG00000046283
bos_mutus ENSBMUG00000021140
bison_bison ENSBBBG00000012293
tursiops_truncatus ENSTTRG00000017299
sus_scrofa ENSSSCG00000023395
vicugna_pacos ENSVPAG00000007081
equus_caballus ENSECAG00000019331
equus_asinus ENSEASG00005008109
equus_caballus ENSECAG00000014029
sorex_araneus ENSSARG00000006930
oryctolagus_cuniculus ENSOCUG00000004992
ochotona_princeps ENSOPRG00000009348
dasypus_novemcinctus ENSDNOG00000042585
dasypus_novemcinctus ENSDNOG00000046175
loxodonta_africana ENSLAFG00000009140
echinops_telfairi ENSETEG00000014824
anolis_carolinensis ENSACAG00000012758
pogona_vitticeps ENSPVIG00000015696
