poecilia_mexicana ENSPMEG00000012591
xiphophorus_couchianus ENSXCOG00000016274
oryzias_melastigma ENSOMEG00000016134
monopterus_albus ENSMALG00000020449
mastacembelus_armatus ENSMAMG00000024061
scleropages_formosus ENSSFOG00015011837
notamacropus_eugenii ENSMEUG00000011015
phascolarctos_cinereus ENSPCIG00000024964
sarcophilus_harrisii ENSSHAG00000018765
monodelphis_domestica ENSMODG00000017674
castor_canadensis ENSCCNG00000006599
dipodomys_ordii ENSDORG00000004147
mus_spicilegus ENSMSIG00000001137
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016016
mus_musculus ENSMUSG00000004360
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015207
mus_pahari MGP_PahariEiJ_G0023829
rattus_norvegicus ENSRNOG00000042309
meriones_unguiculatus ENSMUGG00000003630
peromyscus_maniculatus_bairdii ENSPEMG00000023194
microtus_ochrogaster ENSMOCG00000000922
cricetulus_griseus_crigri-picr ENSCGRG00015010580
cricetulus_griseus_chok1gshd ENSCGRG00001014876
cricetulus_griseus_crigri ENSCGRG00000001472
nannospalax_galili ENSNGAG00000023956
jaculus_jaculus ENSJJAG00000023852
ictidomys_tridecemlineatus ENSSTOG00000019574
spermophilus_dauricus ENSSDAG00000024211
urocitellus_parryii ENSUPAG00010020255
marmota_marmota_marmota ENSMMMG00000016712
chinchilla_lanigera ENSCLAG00000008370
octodon_degus ENSODEG00000005707
cavia_porcellus ENSCPOG00000020737
cavia_aperea ENSCAPG00000014544
heterocephalus_glaber_female ENSHGLG00000009498
heterocephalus_glaber_male ENSHGLG00100017542
fukomys_damarensis ENSFDAG00000005920
oryctolagus_cuniculus ENSOCUG00000027883
ochotona_princeps ENSOPRG00000018569
pan_paniscus ENSPPAG00000005411
pan_troglodytes ENSPTRG00000034180
homo_sapiens ENSG00000189367
gorilla_gorilla ENSGGOG00000040771
nomascus_leucogenys ENSNLEG00000014161
macaca_mulatta ENSMMUG00000048882
macaca_fascicularis ENSMFAG00000045872
macaca_nemestrina ENSMNEG00000028104
cercocebus_atys ENSCATG00000043290
papio_anubis ENSPANG00000011914
mandrillus_leucophaeus ENSMLEG00000041594
theropithecus_gelada ENSTGEG00000007386
chlorocebus_sabaeus ENSCSAG00000016408
colobus_angolensis_palliatus ENSCANG00000033896
piliocolobus_tephrosceles ENSPTEG00000013597
rhinopithecus_bieti ENSRBIG00000031115
rhinopithecus_roxellana ENSRROG00000035174
saimiri_boliviensis_boliviensis ENSSBOG00000030407
cebus_capucinus ENSCCAG00000026480
callithrix_jacchus ENSCJAG00000003616
aotus_nancymaae ENSANAG00000022856
carlito_syrichta ENSTSYG00000009449
microcebus_murinus ENSMICG00000035037
propithecus_coquereli ENSPCOG00000020579
prolemur_simus ENSPSMG00000004489
otolemur_garnettii ENSOGAG00000034906
ursus_americanus ENSUAMG00000024765
ursus_maritimus ENSUMAG00000001158
ailuropoda_melanoleuca ENSAMEG00000014681
mustela_putorius_furo ENSMPUG00000014612
neovison_vison ENSNVIG00000001454
canis_lupus_dingo ENSCAFG00020021958
vulpes_vulpes ENSVVUG00000000988
canis_lupus_familiaris ENSCAFG00000032758
panthera_tigris_altaica ENSPTIG00000012712
panthera_pardus ENSPPRG00000003128
felis_catus ENSFCAG00000022594
equus_caballus ENSECAG00000023763
equus_asinus_asinus ENSEASG00005009436
pteropus_vampyrus ENSPVAG00000004509
myotis_lucifugus ENSMLUG00000028894
vicugna_pacos ENSVPAG00000001647
sus_scrofa ENSSSCG00000004215
bos_mutus ENSBMUG00000010595
bos_taurus ENSBTAG00000003919
bison_bison_bison ENSBBBG00000010619
capra_hircus ENSCHIG00000010509
ovis_aries ENSOARG00000007660
tursiops_truncatus ENSTTRG00000000947
choloepus_hoffmanni ENSCHOG00000011842
dasypus_novemcinctus ENSDNOG00000024734
loxodonta_africana ENSLAFG00000020682
procavia_capensis ENSPCAG00000000389
ornithorhynchus_anatinus ENSOANG00000012977
junco_hyemalis ENSJHYG00000016390
zonotrichia_albicollis ENSZALG00000016130
serinus_canaria ENSSCAG00000014071
taeniopygia_guttata ENSTGUG00000018126
lonchura_striata_domestica ENSLSDG00000015969
parus_major ENSPMJG00000013634
cyanistes_caeruleus ENSCCEG00000015080
lepidothrix_coronata ENSLCOG00000000158
manacus_vitellinus ENSMVIG00005017793
melopsittacus_undulatus ENSMUNG00000000191
calidris_pygmaea ENSCPGG00000012191
calidris_pugnax ENSCPUG00000016620
anser_brachyrhynchus ENSABRG00000008232
anas_platyrhynchos_platyrhynchos ENSAPLG00000015660
meleagris_gallopavo ENSMGAG00000013253
coturnix_japonica ENSCJPG00005009118
numida_meleagris ENSNMEG00000022086
apteryx_owenii ENSAOWG00000002709
apteryx_haastii ENSAHAG00000010318
apteryx_rowi ENSARWG00000006102
dromaius_novaehollandiae ENSDNVG00000018147
nothoprocta_perdicaria ENSNPEG00000014060
crocodylus_porosus ENSCPRG00005005096
gopherus_agassizii ENSGAGG00000002630
chelonoidis_abingdonii ENSCABG00000012462
chrysemys_picta_bellii ENSCPBG00000018509
pelodiscus_sinensis ENSPSIG00000011007
anolis_carolinensis ENSACAG00000028910
pogona_vitticeps ENSPVIG00000013696
notechis_scutatus ENSNSUG00000004691
salvator_merianae ENSSMRG00000011756
